순번,매장명,사업자번호,주소
1,BHC 금호동점,1240150730,"서울특별시 성동구 동호로 93 (금호동4가, 브라운스톤금호2차 201)401동 지2층 3호"
2,BBQ 성수2점,2062067285,서울특별시 성동구 상원10나길 23 (성수동1가)
3,뚜레쥬르 왕십리민자역사점,3101094189,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사)4층"
4,동대문 부대찌개,7454400392,"서울특별시 성동구 자동차시장1길 94-15 (용답동, 오르세오피스텔)1층 106호"
5,병천순대국 행당동본점,2061730357,"서울특별시 성동구 고산자로6길 40 (행당동, 행당동레몬프라자)114호"
6,스위트 하우스,4011544919,서울특별시 성동구 성덕정길 132 (성수동2가)1층 102호
7,파바포장-파리바게뜨 금호1가점,3077600420,서울특별시 성동구 난계로 35 (금호동1가)2층
8,파리바게뜨 금호1가점,3077600420,서울특별시 성동구 난계로 35 (금호동1가)2층
9,한낮의밤 와인배달,4821101565,서울특별시 성동구 성덕정길 109 (성수동2가)2층
10,짬뽕명가 대연,6122369607,"서울특별시 성동구 사근동길 67 (사근동, 중앙하이츠아파트)103동 1층 104호"
11,삼천만횟집,2060196514,서울특별시 성동구 아차산로 87 (성수동2가)
12,피자스쿨 성수쇼핑센터점,1561001349,서울특별시 성동구 아차산로7길 22 (성수동2가)지상1층
13,스시류블랙 성수낙낙점,7103300478,"서울특별시 성동구 아차산로17길 48 (성수동2가, 성수 SK V1 CENTER I)B동 지하1층 RB109호"
14,달무리 백반,2011114520,"서울특별시 성동구 마장로 296 (마장동, 봉호빌딩)1층"
15,대한냉면 성동점,5974600496,서울특별시 성동구 성덕정길 120 (성수동2가)2층
16,두찜 성동왕십리점,2595400885,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 213동, 402동(상가))1층 115호"
17,킴스갈비후라이,5200102867,"서울특별시 성동구 무학로 33 (하왕십리동, 텐즈힐 156동(상가))1층 101호"
18,버텍스 미국식 덮밥 왕십리점,7275300800,서울특별시 성동구 무학봉15길 10-1 (하왕십리동)1층 101호
19,파바포장-파리바게뜨 금호역점,1992702019,"서울특별시 성동구 동호로 93 (금호동4가, 브라운스톤금호2차 201)401동 지2층 4호"
20,파리바게뜨 금호역점,1992702019,"서울특별시 성동구 동호로 93 (금호동4가, 브라운스톤금호2차 201)401동 지2층 4호"
21,굽네치킨&피자 금호1가응봉점 ,7020402849,서울특별시 성동구 금호로 62-1 (금호동1가)1층
22,숙성회136 왕십리점,6291602149,서울특별시 성동구 왕십리로 273-19 (행당동)1층
23,금호흑염소 본점,3815400620,서울특별시 성동구 독서당로 303-4 (금호동3가 )1층
24,마이요거트립 금호점,8651802282,"서울특별시 성동구 금호로 40 (금호동4가, 힐스테이트서울숲리버 114동)상가동 지2층 12호"
25,샐러마켓 뚝섬역점,5703601341,서울특별시 성동구 뚝섬로1길 55-1 (성수동1가)1층
26,육회왕자 연어공주 왕십리점,6058636229,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 L동)엘동 지층 110-1호(상왕십리동)"
27,인생닭강정 용답역점,6710401532,서울특별시 성동구 용답19길 15 (용답동)1층
28,화락바베큐치킨 성동금호점,7476500511,서울특별시 성동구 금호산2길 18-1 (금호동3가)1층
29,로봇배달 KITCHEN LOT,5974801053,"서울특별시 성동구 성수일로 10 (성수동1가, 서울숲 ITCT 지식산업센터)KITCHEN LOT"
30,로봇배달 라바트리 서울숲,3100978937,"서울특별시 성동구 아차산로 6 (성수동1가, 누디트서울숲)LAVATREE"
31,라바트리 서울숲,3100978937,"서울특별시 성동구 아차산로 6 (성수동1가, 누디트서울숲)LAVATREE"
32,게장 참 잘하는집 왕십리점,8820901030,서울특별시 성동구 왕십리로 273 (행당제1동)1층
33,빨간모자피자 왕십리점,5930203288,서울특별시 성동구 무학봉길 41-1 (하왕십리동)1층
34,노워리즈 (No worries),1023761895,서울특별시 성동구 용답중앙길 45-2 (용답동)1층
35,달다곰이 왕십리점,6660302769,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사)지1층"
36,KITCHEN LOT,5974801053,"서울특별시 성동구 성수일로 10 (성수동1가, 서울숲 ITCT 지식산업센터)KITCHEN LOT"
37,명장아구찜 성동본점,4245000818,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)1층 161호,162호"
38,삼첩분식 왕십리점,6340502747,서울특별시 성동구 무학봉21길 11 (하왕십리동)1층
39,네네치킨 금호점,2063136871,서울특별시 성동구 독서당로 315-4 (금호동3가)1층
40,원할머니명품도시락 답십리점,2280762957,서울특별시 성동구 용답중앙15길 17 (용답동 )1층
41,맛있는 빙달 눈꽃빙수 동대문점,6192201770,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 213동, 402동(상가))402동 217호"
42,수제비먹는닭갈비,3113101470,"서울특별시 성동구 왕십리로21다길 39 (행당동, 예정피아노학원)1층"
43,백년국밥과보쌈,8510802571,"서울특별시 성동구 행당로 87 (행당동, 행당동대림아파트 대림 리빙프라자)제리빙프라동 3층 343호"
44,이문 매운갈비찜,1913000166,서울특별시 성동구 금호산2길 17-1 (금호동3가)1층
45,자담치킨 행당점,2710202958,서울특별시 성동구 고산자로8길 24 (행당동)1층
46,파바포장-파리바게뜨 왕십리역사점,1054184967,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사)지상2층"
47,파리바게뜨 왕십리역사점,1054184967,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사)지상2층"
48,파스타예요 왕십리본점,5052121000,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)1층 163호"
49,BHC 행당점,8791502131,서울특별시 성동구 무학봉길 43 (하왕십리동)1층
50,뚝도시장 삼미냉면칼국수,2063077458,서울특별시 성동구 성덕정15길 7 (성수동2가)
51,작은카페,7881500972,서울특별시 성동구 마조로15나길 19 (마장동)1동 작은카페
52,스프링스,8688801117,"서울특별시 성동구 왕십리로 109 (성수동1가, 성수만세주유소)"
53,꽃보다족발 본점,5938702933,서울특별시 성동구 왕십리로24길 16 (도선동)
54,왕십리 밥도둑 김치찜,5450202714,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)1층 161호,162호"
55,펠어커피 왕십리점,5992301963,"서울특별시 성동구 마장로 230-1 (홍익동, 홍익동123빌딩)1층"
56,라사천마라탕 성수점,5730302981,서울특별시 성동구 성덕정길 38 (성수동1가)1층
57,호식이두마리치킨 왕십리점,7123301492,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 212동, 401동(상가))1층 105호"
58,교촌치킨 응봉점,4886800457,"서울특별시 성동구 독서당로 398 (응봉동, 노선상가)3층 301호"
59,KFC 신금호점,2018189723,"서울특별시 성동구 무수막길 97 (금호동2가, 김약국)1층"
60,프레퍼스 왕십리점,1164900906,서울특별시 성동구 마조로 21 (행당동)2층
61,오운완 단백질다이어트,5200102867,"서울특별시 성동구 무학로 33 (하왕십리동, 텐즈힐 156동(상가))1층 101호"
62,달꿍 태국음식점,4227500488,"서울특별시 성동구 무학봉15가길 4 (하왕십리동, 무학유치원)1층"
63,고려삼계탕,8510802571,"서울특별시 성동구 행당로 87 (행당동, 행당동대림아파트 대림 리빙프라자)제리빙프라동 3층 343호"
64,두찜 성동성수점,5536300566,"서울특별시 성동구 성수일로8길 5 (성수동2가, 서울숲 SK V1 TOWER A동)105호"
