ym,num_holidays,num_events,has_substitute,longest_consecutive,holiday_names
202301,5,7,1,4,1월1일; 대체공휴일; 대한; 설날; 소한
202302,0,4,0,2,2·28 민주운동 기념일; 우수; 입춘; 정월대보름
202303,1,8,0,2,3·15 의거 기념일; 3·8민주의거 기념일; 경칩; 납세자의 날; 삼일절; 상공의 날; 서해수호의 날; 춘분
202304,0,15,0,2,4·19 혁명 기념일; 4·3희생자 추념일; 곡우; 과학의 날; 대한민국임시정부 수립기념일; 도시농업의 날; 법의 날; 보건의 날; 식목일; 예비군의 날; 장애인의 날; 정보통신의 날
202305,3,16,1,3,5·18 민주화운동 기념일; 근로자의 날; 대체공휴일; 동학농민혁명 기념일; 바다의 날; 발명의 날; 부부의 날; 부처님오신날; 성년의 날; 소만; 스승의 날; 식품안전의 날
202306,1,13,0,2,6·10 만세운동 기념일; 6·10 민주항쟁 기념일; 6·25 전쟁일; 구강보건의 날; 단오; 마약퇴치의 날; 망종; 의병의 날; 전자정부의 날; 철도의 날; 하지; 현충일
202307,0,6,0,2,대서; 소서; 인구의 날; 정보보호의 날; 중복; 초복
202308,1,6,0,2,광복절; 말복; 섬의 날; 입추; 처서; 칠석
202309,3,10,0,3,곤충의 날; 백로; 사회복지의 날; 청년의 날; 추분; 추석; 푸른 하늘의 날; 해양경찰의 날
202310,3,19,0,3,개천절; 경찰의 날; 교정의 날; 국군의 날; 국제연합일; 금융의 날; 노인의 날; 문화의 날; 부마민주항쟁 기념일; 상강; 세계한인의 날; 임산부의 날
202311,0,7,0,2,농업인의 날; 소방의 날; 소설; 순국선열의 날; 아동학대예방의 날; 입동; 학생독립운동 기념일
202312,1,7,0,3,기독탄신일; 대설; 동지; 무역의 날; 소비자의 날; 원자력 안전 및 진흥의 날; 자원봉사자의 날
202401,1,3,0,2,1월1일; 대한; 소한
202402,4,8,1,4,2·28 민주운동 기념일; 대체공휴일(설날); 설날; 우수; 입춘; 정월대보름
202403,1,8,0,3,3·15 의거 기념일; 3·8민주의거 기념일; 경칩; 납세자의 날; 삼일절; 상공의 날; 서해수호의 날; 춘분
202404,1,16,0,2,4·19혁명 기념일; 4·3희생자 추념일; 곡우; 과학의 날; 국회의원선거; 대한민국임시정부 수립기념일; 도시농업의 날; 법의 날; 보건의 날; 식목일; 예비군의 날; 장애인의 날
202405,3,19,1,3,5·18민주화운동 기념일; 근로자의 날; 대체공휴일(어린이날); 동학농민혁명 기념일; 바다의 날; 발명의 날; 부부의 날; 부처님오신날; 성년의 날; 세계인의 날; 소만; 스승의 날
202406,1,13,0,2,6·10만세운동 기념일; 6·10민주항쟁 기념일; 6·25전쟁일; 구강보건의 날; 단오; 마약퇴치의 날; 망종; 의병의 날; 전자정부의 날; 철도의 날; 하지; 현충일
202407,0,7,0,2,대서; 소서; 유엔군 참전의 날; 인구의 날; 정보보호의 날; 중복; 초복
202408,1,6,0,2,광복절; 말복; 섬의 날; 입추; 처서; 칠석
202409,3,11,0,5,곤충의 날; 백로; 사회복지의 날; 조달의 날; 청년의 날; 추분; 추석; 푸른 하늘의 날; 해양경찰의 날
202410,3,19,0,2,개천절; 경찰의 날; 교정의 날; 국군의 날; 국제연합일; 금융의 날; 노인의 날; 문화의 날; 부마민주항쟁 기념일; 상강; 세계 한인의 날; 임산부의 날
202411,0,9,0,2,김치의 날; 농업인의 날; 소방의 날; 소설; 순국선열의 날; 아동학대 예방의 날; 유엔참전용사 국제추모의 날; 입동; 학생독립운동 기념일
202412,1,7,0,2,기독탄신일; 대설; 동지; 무역의 날; 소비자의 날; 원자력 안전 및 진흥의 날; 자원봉사자의 날
202501,5,7,0,6,1월1일; 대한; 설날; 소한; 임시공휴일
202502,0,4,0,2,2·28 민주운동 기념일; 우수; 입춘; 정월대보름
202503,2,10,1,3,3·15 의거 기념일; 3·8민주의거 기념일; 경칩; 납세자의 날; 대체공휴일; 삼일절; 상공의 날; 서해수호의 날; 의용소방대의 날; 춘분
202504,0,16,0,2,4·19혁명 기념일; 4·3희생자 추념일; 곡우; 과학의 날; 대한민국임시정부 수립기념일; 도시농업의 날; 법의 날; 보건의 날; 순직의무군경의 날; 식목일; 예비군의 날; 장애인의 날
202505,3,21,1,4,5·18민주화운동 기념일; 근로자의 날; 단오; 대체공휴일; 동학농민혁명 기념일; 바다의 날; 발명의 날; 부부의 날; 부처님오신날; 성년의 날; 세계인의 날; 소만
202506,2,14,0,3,6·10만세운동 기념일; 6·10민주항쟁 기념일; 6·25전쟁일; 구강보건의 날; 마약퇴치의 날; 망종; 의병의 날; 임시공휴일(제21대 대통령 선거); 전자정부의 날; 철도의 날; 하지; 현충일
202507,0,8,0,2,대서; 북한이탈주민의 날; 소서; 유엔군 참전의 날; 인구의 날; 정보보호의 날; 중복; 초복
202508,1,6,0,3,광복절; 말복; 섬의 날; 입추; 처서; 칠석
202509,0,9,0,2,개인정보 보호의 날; 곤충의 날; 백로; 사회복지의 날; 조달의 날; 청년의 날; 추분; 푸른 하늘의 날; 해양경찰의 날
202510,6,22,1,7,개천절; 경찰의 날; 교정의 날; 국군의 날; 국제연합일; 금융의 날; 노인의 날; 대체공휴일; 문화의 날; 부마민주항쟁 기념일; 상강; 세계 한인의 날
202511,0,9,0,2,김치의 날; 농업인의 날; 소방의 날; 소설; 순국선열의 날; 아동학대 예방의 날; 유엔참전용사 국제추모의 날; 입동; 학생독립운동 기념일
202512,1,7,0,2,기독탄신일; 대설; 동지; 무역의 날; 소비자의 날; 원자력 안전 및 진흥의 날; 자원봉사자의 날
