iter	RMSE
0	1.356401595
1	1.290120278
2	1.227698083
3	1.167505387
4	1.11202177
5	1.059881585
6	1.011044543
7	0.9647395547
8	0.9216995572
9	0.8812350766
10	0.8425455153
11	0.8064151279
12	0.7732259259
13	0.7408670705
14	0.7115414948
15	0.6838651585
16	0.6583552524
17	0.6345558797
18	0.6118609534
19	0.5897663729
20	0.5699407443
21	0.5515239389
22	0.5350174751
23	0.5191178047
24	0.5042727649
25	0.4901767437
26	0.4776482722
27	0.4658990939
28	0.4545816021
29	0.4439542129
30	0.4337224945
31	0.4241954675
32	0.4163011857
33	0.4090803104
34	0.4016716827
35	0.3951420382
36	0.388930212
37	0.38280701
38	0.3771980013
39	0.3715626996
40	0.3664403755
41	0.3611087475
42	0.3570883173
43	0.3531908366
44	0.3488225208
45	0.3449080757
46	0.3418088453
47	0.3384670391
48	0.3357827177
49	0.3329249451
50	0.330507498
51	0.3286622158
52	0.3267454295
53	0.3246168263
54	0.3223644576
55	0.3205533378
56	0.318769769
57	0.3169542407
58	0.3150243563
59	0.3134058128
60	0.3118836643
61	0.3107270985
62	0.3096135809
63	0.3084519039
64	0.3073574681
65	0.3062619061
66	0.3049765767
67	0.3038004259
68	0.3029058858
69	0.3018923325
70	0.300921445
71	0.3000336638
72	0.2991643565
73	0.298357455
74	0.297323379
75	0.2967932069
76	0.2960653535
77	0.2955916029
78	0.2950825089
79	0.294130421
80	0.2934563611
81	0.2930958066
82	0.2922078174
83	0.2917730011
84	0.2910641949
85	0.2904602427
86	0.2898955691
87	0.2890165265
88	0.2883892621
89	0.2879455536
90	0.2875504424
91	0.2871680993
92	0.2865771141
93	0.2860353095
94	0.2853386116
95	0.2849878624
96	0.2845530595
97	0.2841032777
98	0.283663033
99	0.2829228719
100	0.282419169
101	0.2818204241
102	0.2814205211
103	0.2808652808
104	0.2804251993
105	0.2799934217
106	0.2797325323
107	0.2794042888
108	0.2790377039
109	0.2787448669
110	0.2783890933
111	0.2779321484
112	0.2775308843
113	0.2771088913
114	0.2768608866
115	0.2763785622
116	0.2758675079
117	0.2752791375
118	0.2745699893
119	0.2740078662
120	0.2737019127
121	0.2733373532
122	0.2729996449
123	0.2725945871
124	0.2721900924
125	0.2717590222
126	0.2714369861
127	0.2711838403
128	0.2706744152
129	0.270419232
130	0.2701156534
131	0.2698309437
132	0.2693635979
133	0.2690437963
134	0.2686527821
135	0.2683928636
136	0.2681565349
137	0.2678820449
138	0.2676057903
139	0.2672155759
140	0.2668452196
141	0.2666659605
142	0.2664132321
143	0.2661698936
144	0.265882633
145	0.26549788
146	0.2653620143
147	0.2652292389
148	0.2647786386
149	0.2644259612
150	0.2640886604
151	0.2634226427
152	0.2631569607
153	0.2628261773
154	0.2625340358
155	0.2623021855
156	0.2621179569
157	0.2616278684
158	0.2613154449
159	0.2610232671
160	0.260626528
161	0.2600184786
162	0.2595336771
163	0.2590755155
164	0.2588925702
165	0.2586077519
166	0.2584779739
167	0.2579961111
168	0.2578566621
169	0.2576558657
170	0.2574519589
171	0.257229172
172	0.2569873357
173	0.2568134956
174	0.2565693713
175	0.2560254099
176	0.2554938215
177	0.2551856563
178	0.2549910878
179	0.2545410421
180	0.2544380139
181	0.2539717959
182	0.253679013
183	0.2533402755
184	0.2531405729
185	0.2525734405
186	0.2523751911
187	0.2521021794
188	0.2519344075
189	0.2515704656
190	0.2512151064
191	0.2509778844
192	0.2506614172
193	0.2503990889
194	0.2501780962
195	0.2497198433
196	0.2494204877
197	0.2490889038
198	0.2488460444
199	0.2487035597
200	0.2483492203
201	0.2481531146
202	0.2480110849
203	0.2478403942
204	0.24767775
205	0.2474564815
206	0.2472720163
207	0.2467393215
208	0.2465058045
209	0.2461334834
210	0.2457308461
211	0.2455905446
212	0.2452867642
213	0.2449842327
214	0.2448208598
215	0.2445334317
216	0.2441745015
217	0.2439160937
218	0.2435738189
219	0.2430756681
220	0.2427716744
221	0.2425240007
222	0.2422093886
223	0.2420766559
224	0.2417199123
225	0.241467372
226	0.2411308
227	0.2407345067
228	0.2404708437
229	0.2402330146
230	0.239918492
231	0.2396452043
232	0.2392125714
233	0.2389338289
234	0.2387976826
235	0.2385040171
236	0.238202674
237	0.2377773247
238	0.2375025519
239	0.2373052785
240	0.2370010556
241	0.2367762265
242	0.2366110019
243	0.23643439
244	0.2360910491
245	0.2359378353
246	0.2357828064
247	0.2356143051
248	0.2354215186
249	0.235203462
250	0.2350470588
251	0.2348083418
252	0.2345871935
253	0.2341256774
