iter	Passed	Remaining
0	75	34086
1	86	19347
2	96	14413
3	106	11903
4	117	10435
5	127	9407
6	137	8719
7	148	8196
8	158	7782
9	169	7451
10	179	7167
11	189	6916
12	199	6709
13	210	6567
14	222	6449
15	234	6347
16	245	6246
17	255	6131
18	265	6023
19	275	5923
20	286	5848
21	296	5761
22	306	5698
23	317	5633
24	327	5572
25	338	5519
26	349	5469
27	359	5417
28	369	5366
29	380	5324
30	390	5283
31	400	5234
32	411	5203
33	422	5169
34	433	5140
35	444	5114
36	455	5082
37	465	5052
38	475	5016
39	486	4987
40	497	4960
41	507	4931
42	518	4906
43	528	4877
44	538	4850
45	549	4828
46	560	4802
47	570	4780
48	581	4755
49	591	4734
50	602	4709
51	611	4683
52	622	4663
53	633	4642
54	643	4622
55	654	4604
56	665	4587
57	675	4566
58	686	4547
59	696	4525
60	707	4512
61	718	4494
62	728	4474
63	739	4457
64	749	4440
65	760	4422
66	770	4405
67	781	4388
68	791	4370
69	802	4358
70	813	4341
71	823	4324
72	834	4310
73	844	4292
74	855	4275
75	865	4259
76	875	4242
77	886	4228
78	897	4214
79	907	4199
80	918	4183
81	928	4168
82	939	4155
83	949	4139
84	960	4124
85	970	4109
86	981	4093
87	991	4079
88	1002	4066
89	1012	4051
90	1023	4037
91	1034	4024
92	1045	4012
93	1056	4000
94	1067	3988
95	1077	3974
96	1088	3962
97	1099	3950
98	1110	3936
99	1120	3921
100	1130	3907
101	1141	3893
102	1151	3880
103	1162	3865
104	1172	3852
105	1182	3838
106	1193	3826
107	1206	3821
108	1217	3808
109	1228	3797
110	1239	3785
111	1250	3774
112	1262	3763
113	1272	3751
114	1283	3738
115	1294	3726
116	1304	3713
117	1315	3700
118	1326	3688
119	1337	3677
120	1347	3664
121	1358	3653
122	1369	3639
123	1379	3627
124	1390	3616
125	1401	3604
126	1412	3591
127	1422	3578
128	1433	3566
129	1443	3554
130	1454	3541
131	1465	3529
132	1475	3517
133	1486	3505
134	1496	3492
135	1507	3479
136	1517	3467
137	1528	3455
138	1539	3443
139	1549	3431
140	1560	3419
141	1571	3408
142	1582	3398
143	1594	3387
144	1606	3378
145	1617	3367
146	1627	3355
147	1637	3342
148	1648	3330
149	1659	3318
150	1670	3307
151	1680	3294
152	1691	3282
153	1701	3271
154	1712	3258
