dateKind,dateName,isHoliday,locdate,seq,method,solYM,kst,sunLongitude,ym,year,month,day
01,1월1일,Y,2023-01-01,1,getRestDeInfo,202301,,,202301,2023,1,1
03,소한,N,2023-01-06,1,get24DivisionsInfo,202301,0005      ,,202301,2023,1,6
03,대한,N,2023-01-20,1,get24DivisionsInfo,202301,1730      ,,202301,2023,1,20
01,설날,Y,2023-01-21,1,getRestDeInfo,202301,,,202301,2023,1,21
01,설날,Y,2023-01-22,1,getRestDeInfo,202301,,,202301,2023,1,22
01,설날,Y,2023-01-23,1,getRestDeInfo,202301,,,202301,2023,1,23
01,대체공휴일,Y,2023-01-24,1,getRestDeInfo,202301,,,202301,2023,1,24
03,입춘,N,2023-02-04,1,get24DivisionsInfo,202302,1143      ,,202302,2023,2,4
04,정월대보름,N,2023-02-05,1,getSundryDayInfo,202302,,,202302,2023,2,5
03,우수,N,2023-02-19,1,get24DivisionsInfo,202302,0734      ,,202302,2023,2,19
02,2·28 민주운동 기념일,N,2023-02-28,1,getAnniversaryInfo,202302,,,202302,2023,2,28
01,삼일절,Y,2023-03-01,1,getRestDeInfo,202303,,,202303,2023,3,1
02,납세자의 날,N,2023-03-03,1,getAnniversaryInfo,202303,,,202303,2023,3,3
03,경칩,N,2023-03-06,1,get24DivisionsInfo,202303,0536      ,,202303,2023,3,6
02,3·8민주의거 기념일,N,2023-03-08,1,getAnniversaryInfo,202303,,,202303,2023,3,8
02,3·15 의거 기념일,N,2023-03-15,1,getAnniversaryInfo,202303,,,202303,2023,3,15
02,상공의 날,N,2023-03-15,2,getAnniversaryInfo,202303,,,202303,2023,3,15
03,춘분,N,2023-03-21,1,get24DivisionsInfo,202303,0624      ,,202303,2023,3,21
02,서해수호의 날,N,2023-03-24,1,getAnniversaryInfo,202303,,,202303,2023,3,24
02,4·3희생자 추념일,N,2023-04-03,1,getAnniversaryInfo,202304,,,202304,2023,4,3
03,청명,N,2023-04-05,2,get24DivisionsInfo,202304,1013      ,,202304,2023,4,5
02,식목일,N,2023-04-05,1,getAnniversaryInfo,202304,,,202304,2023,4,5
04,한식,N,2023-04-06,1,getSundryDayInfo,202304,,,202304,2023,4,6
02,예비군의 날,N,2023-04-07,1,getAnniversaryInfo,202304,,,202304,2023,4,7
02,보건의 날,N,2023-04-07,2,getAnniversaryInfo,202304,,,202304,2023,4,7
02,도시농업의 날,N,2023-04-11,1,getAnniversaryInfo,202304,,,202304,2023,4,11
02,대한민국임시정부 수립기념일,N,2023-04-11,2,getAnniversaryInfo,202304,,,202304,2023,4,11
02,4·19 혁명 기념일,N,2023-04-19,1,getAnniversaryInfo,202304,,,202304,2023,4,19
