iter	RMSE
0	1.416719051
1	1.413516469
2	1.410354967
3	1.40715075
4	1.403959747
5	1.40081816
6	1.397627479
7	1.394489222
8	1.391359718
9	1.388278325
10	1.385172006
11	1.38211445
12	1.379021516
13	1.375962294
14	1.372918584
15	1.369921676
16	1.366844388
17	1.363820455
18	1.360792981
19	1.357785448
20	1.354802677
21	1.351802482
22	1.348850264
23	1.345920833
24	1.342913295
25	1.339955675
26	1.337010981
27	1.334051959
28	1.331127703
29	1.328202258
30	1.325355935
31	1.322475573
32	1.319612645
33	1.3168366
34	1.314011747
35	1.311181139
36	1.308309754
37	1.305466292
38	1.302646398
39	1.29982191
40	1.296993738
41	1.294226439
42	1.291470879
43	1.288694424
44	1.285950481
45	1.283168131
46	1.28042359
47	1.277674811
48	1.274960098
49	1.272234533
50	1.269479838
51	1.266805623
52	1.264128736
53	1.261435936
54	1.258728984
55	1.256115698
56	1.253438483
57	1.250788003
58	1.248164922
59	1.245550179
60	1.242906834
61	1.240303492
62	1.237747863
63	1.235175225
64	1.232623161
65	1.230050529
66	1.227483389
67	1.224937208
68	1.222401775
69	1.21988242
70	1.217346762
71	1.214858175
72	1.212345583
73	1.209866616
74	1.207348708
75	1.204888173
76	1.202410294
77	1.19992638
78	1.19750578
79	1.195095595
80	1.192676435
81	1.190288399
82	1.187819925
83	1.185442987
84	1.183063299
85	1.180671634
86	1.178274745
87	1.175913065
88	1.173541245
89	1.171241566
90	1.16891437
91	1.166579889
92	1.164304312
93	1.162021552
94	1.159690552
95	1.157400988
96	1.155101847
97	1.152812495
98	1.150523868
99	1.148273437
100	1.146021268
101	1.143758555
102	1.141520454
103	1.139323903
104	1.137110077
105	1.134921594
106	1.132687294
107	1.13051598
108	1.128330001
109	1.126105499
110	1.123896344
111	1.121717568
112	1.119579674
113	1.117405991
114	1.115283552
115	1.113183578
116	1.111036993
117	1.108976051
118	1.106867908
119	1.104727714
120	1.102635612
121	1.100531465
122	1.098443787
123	1.096375045
124	1.094310868
125	1.092261518
126	1.090245636
127	1.088208584
128	1.086177118
129	1.084116997
130	1.082065798
131	1.080033091
132	1.078035797
133	1.076022544
134	1.074024342
135	1.072007845
136	1.070059094
137	1.068075298
138	1.066092071
139	1.064127692
140	1.062195833
141	1.060262072
142	1.058315298
143	1.056381673
144	1.054408971
145	1.052498977
146	1.050593525
147	1.048657195
148	1.046757807
149	1.044861029
150	1.042985055
151	1.041087212
152	1.03922417
153	1.037366683
154	1.035543537
155	1.033737464
156	1.031882182
157	1.030046172
158	1.028203003
159	1.026390799
160	1.024597204
161	1.022791664
162	1.021018903
163	1.019229761
164	1.017430275
165	1.015643058
166	1.013863558
167	1.012067192
168	1.010309307
169	1.008533672
170	1.00679876
171	1.005078895
172	1.003351283
173	1.001659137
174	0.9999505024
175	0.9982519372
176	0.9965568909
177	0.994852448
178	0.9931225695
179	0.9914313096
180	0.9897696663
181	0.9880947446
182	0.9864096565
183	0.984706288
184	0.9830517131
185	0.9813843869
186	0.9797113492
187	0.9781004998
188	0.9764860683
189	0.9748739799
190	0.9732708483
191	0.9716711885
192	0.9700507684
193	0.9684487437
194	0.9668404692
195	0.9652303149
196	0.9636690217
197	0.9620895246
198	0.9604977224
199	0.9589537565
200	0.9573854801
201	0.9558366312
202	0.9542645855
203	0.9527912047
204	0.9512607643
205	0.9497369484
206	0.9481748779
207	0.9466606112
208	0.9451407545
209	0.9436348492
210	0.9421540638
211	0.9406814935
212	0.9392029804
213	0.9377406117
214	0.9362799243
215	0.9347884544
216	0.9333094744
217	0.9318777406
218	0.930446689
219	0.9290062431
220	0.9275687079
221	0.9261440731
222	0.9247036126
223	0.9232566179
224	0.9218211986
225	0.9204153801
226	0.9189844164
227	0.9175827015
228	0.9161545455
229	0.9147455828
230	0.9133410088
231	0.9119631767
232	0.9105890731
233	0.9092296994
234	0.9078607848
235	0.9065158128
236	0.9051348203
237	0.9037852534
238	0.9024373417
239	0.901116712
240	0.8997720833
241	0.8984567507
242	0.8971414088
243	0.89583088
244	0.8945253499
245	0.8931967798
246	0.8918917677
247	0.8905680543
248	0.8893019174
249	0.8880338076
250	0.8867783753
251	0.8854957579
252	0.8842390816
253	0.8829914683
254	0.8817646022
255	0.8804998949
256	0.8792507162
257	0.8779810398
258	0.8767242498
259	0.8754531787
260	0.8741987188
261	0.8729726287
262	0.8717619318
263	0.8705849173
264	0.8693724746
265	0.8681524616
266	0.8669415588
267	0.8657226482
268	0.8645248649
269	0.8633229443
270	0.8621342842
271	0.8609526348
272	0.8597841558
273	0.8585924813
274	0.8574172155
275	0.8562538107
276	0.8550916125
277	0.8539394359
278	0.8527977672
279	0.8516350957
280	0.8505059483
281	0.849345963
282	0.8482259015
283	0.8470998891
284	0.8459920501
285	0.8448821189
286	0.8437791837
287	0.8426856337
288	0.8415579936
289	0.8404606298
290	0.839387725
291	0.8382693228
292	0.8372040339
293	0.8361067569
294	0.8350135269
295	0.8339472064
296	0.8329034545
297	0.8318292872
298	0.8307915031
299	0.8297518554
300	0.8287173581
301	0.8276675637
302	0.8266437861
303	0.8255900412
304	0.8245564795
305	0.8235351969
306	0.822512616
307	0.8214906363
308	0.8204880304
309	0.8194470641
310	0.8184371279
311	0.8174270612
312	0.8164427401
313	0.815431985
314	0.8144348988
315	0.8134758947
316	0.8124760852
317	0.8114795865
318	0.8104905951
319	0.8095200071
320	0.8085575692
321	0.8075943844
322	0.8066394241
323	0.8056886728
324	0.8047304027
325	0.8037990137
326	0.8028593011
327	0.80190226
328	0.8009587296
329	0.800028661
330	0.7990978332
331	0.7981621555
332	0.7972412434
333	0.796299925
334	0.7953929167
335	0.794468306
336	0.7935558259
337	0.7926493441
338	0.7917446102
339	0.7908441825
340	0.7899352477
341	0.7890600569
342	0.7881805563
343	0.7872794912
344	0.7863885776
345	0.7855184908
346	0.7846431159
347	0.783770506
348	0.7828849718
349	0.782026108
350	0.7811734548
351	0.7803238906
352	0.7794722595
353	0.778640544
354	0.7778069379
355	0.7769497058
356	0.7761059319
357	0.7752835049
358	0.7744799368
359	0.773646447
360	0.7728631438
361	0.7720810743
362	0.7712800052
363	0.7704955587
364	0.769704051
365	0.768877998
366	0.7680802488
367	0.7672801209
368	0.766494711
369	0.7656987827
370	0.7649157879
371	0.7641391058
372	0.7633521562
373	0.7625727588
374	0.7617747501
375	0.7609738992
376	0.7602215838
377	0.7594347353
378	0.7586678435
379	0.7578827875
380	0.7571294347
381	0.7563834553
382	0.755630563
383	0.7548981694
384	0.7541653518
385	0.7534311939
386	0.7527260008
387	0.751989908
388	0.7512576424
389	0.7505299738
390	0.7498046761
391	0.749090253
392	0.7483531674
393	0.7476352303
394	0.7469240002
395	0.7461883976
396	0.7454866066
397	0.7447743807
398	0.7440801115
399	0.7433813525
400	0.7426926487
401	0.7419712811
402	0.7413077661
403	0.7406151835
404	0.7399270657
405	0.7392590233
406	0.738607852
407	0.7379401567
408	0.7372670071
409	0.7365873587
410	0.7359199701
411	0.7352481987
412	0.7345877408
413	0.7339339446
414	0.7333132496
415	0.7326269439
416	0.7319784792
417	0.7313137743
418	0.7306639665
419	0.7300310732
420	0.7293871837
421	0.7287425066
422	0.7281146635
423	0.7274787067
424	0.7268694456
425	0.726250481
426	0.7256434328
427	0.725040059
428	0.7244169983
429	0.7237997683
430	0.7231900057
431	0.7225930473
432	0.7219835521
433	0.7213848641
434	0.720803274
435	0.72021072
436	0.7196145413
437	0.7190322976
438	0.7184283056
439	0.7178633168
440	0.7172892938
441	0.7166881961
442	0.7161214877
443	0.7155334321
444	0.7149512526
445	0.7143656351
446	0.7138069339
447	0.7132363764
448	0.7126867129
449	0.7121219768
450	0.7115905832
451	0.7110355105
452	0.7104644857
453	0.7099142788
454	0.7093658091
455	0.7088072545
456	0.7082699223
457	0.7077269732
458	0.7071884752
459	0.7066651417
460	0.7061095028
461	0.7055735905
462	0.7050254519
463	0.7045098398
464	0.7039672842
465	0.7034523221
466	0.7029182047
467	0.7024113834
468	0.7018945411
469	0.7013800385
470	0.7008739779
471	0.7003693963
472	0.6998507831
473	0.6993349249
474	0.6988249147
475	0.6983224503
476	0.6978018233
477	0.6973159799
478	0.6968288012
479	0.6963226065
480	0.6958243521
481	0.6953359148
482	0.6948399578
483	0.6943611333
484	0.6938612366
485	0.6933759033
486	0.6928882591
487	0.6923969183
488	0.6919130744
489	0.6914235037
490	0.690945341
491	0.6904732887
492	0.6900050975
493	0.6895396652
494	0.6890804587
495	0.6886193174
496	0.6881610629
497	0.6876952829
498	0.6872630342
499	0.6867973667
500	0.6863708381
501	0.6859228828
502	0.6854690295
503	0.6850137099
504	0.6845863189
505	0.6841631113
506	0.6837072626
507	0.6832806383
508	0.6828658787
509	0.6824239649
510	0.6819909388
511	0.6815578817
512	0.681122057
513	0.6806918519
514	0.680251411
515	0.679817458
516	0.6794003595
517	0.678975464
518	0.6785634974
519	0.678139542
520	0.6777168996
521	0.6773041146
522	0.6768932149
523	0.6764929967
524	0.676073133
525	0.6756680968
526	0.6752548008
527	0.6748368094
528	0.6744224171
529	0.674016418
530	0.6736400186
531	0.6732636502
532	0.6728852438
533	0.672498936
534	0.6720949831
535	0.6716902221
536	0.6713046028
537	0.670930053
538	0.6705362682
539	0.6701565341
540	0.6697852829
541	0.6693980335
542	0.668998668
543	0.6686275657
544	0.6682396563
545	0.6678620716
546	0.6674820532
547	0.6671116112
548	0.6667317103
549	0.6663638839
550	0.6660023275
551	0.6656546425
552	0.6653002777
553	0.6649447377
554	0.6645791747
555	0.6642253753
556	0.6638762193
557	0.6635230027
558	0.6631712973
559	0.6628101154
560	0.6624789044
561	0.6621175302
562	0.6617525249
563	0.6614242769
564	0.6610817501
565	0.6607451175
566	0.6604081106
567	0.6600770075
568	0.6597497741
569	0.6594062732
570	0.6590848974
571	0.6587353752
572	0.6584065695
573	0.6580618901
574	0.6577291131
575	0.6573943502
576	0.6570733885
577	0.6567414031
578	0.6564265663
579	0.6560938293
580	0.655744966
581	0.6554086093
582	0.6550854457
583	0.6547448191
584	0.654426862
585	0.65410003
586	0.6538031514
587	0.6534866957
588	0.6532045193
589	0.6528932578
590	0.6526022758
591	0.6522821801
592	0.6519623446
593	0.6516721316
594	0.6513743982
595	0.6510621031
596	0.6507705818
597	0.6504745374
598	0.6501659429
599	0.6498425089
600	0.6495486615
601	0.6492474148
602	0.6489631365
603	0.6486563781
604	0.6483679763
605	0.6480949859
606	0.6478014408
607	0.6475058165
608	0.6471865287
609	0.6468876658
610	0.6466111844
611	0.646316346
612	0.6460334996
613	0.6457511795
614	0.6454658696
615	0.6452039615
616	0.6449373868
617	0.6446611501
618	0.644396812
619	0.6441344139
620	0.6438511289
621	0.6435842747
622	0.6433231755
623	0.6430420364
624	0.6427681707
625	0.6424879703
626	0.6422023095
627	0.6419220507
628	0.6416497803
629	0.6413727871
630	0.6411113074
631	0.6407980565
632	0.6405531111
633	0.6403086989
634	0.6400291394
635	0.6397751449
636	0.6395213975
637	0.6392591657
638	0.6390153876
639	0.6387582883
640	0.6385117998
641	0.6382398581
642	0.6379866566
643	0.6377395655
644	0.6374925502
645	0.6372515038
646	0.6370039016
647	0.6367584167
648	0.6365137183
649	0.6362449305
650	0.6359972937
651	0.6357510571
652	0.6355046408
653	0.6352720848
654	0.6350282678
655	0.6347602276
656	0.6345003562
657	0.6342701615
658	0.63404817
659	0.6338088137
660	0.6335284646
661	0.6332812164
662	0.6330626824
663	0.6328340323
664	0.6325864732
665	0.6323462017
666	0.6320864993
667	0.6318522291
668	0.6316309435
669	0.6314090703
670	0.6311934197
671	0.6309725106
672	0.6307422199
673	0.6305081389
674	0.6302968999
675	0.6300902355
676	0.6298719274
677	0.629649449
678	0.6294249644
679	0.6291978679
680	0.6290106539
681	0.6287833073
682	0.6285662563
683	0.6283579292
684	0.6281529793
685	0.6279439188
686	0.6277414886
687	0.6275189507
688	0.6273045178
689	0.6270711714
690	0.6268538823
691	0.6266390177
692	0.6264574484
693	0.6262438083
694	0.6260295484
695	0.6258263762
696	0.6256450493
697	0.6254002879
698	0.6251741477
699	0.6249699448
700	0.6247782772
701	0.6245771959
702	0.6243734889
703	0.6241795923
704	0.6239662627
705	0.6237774213
706	0.6235741536
707	0.6233749488
708	0.6231595146
709	0.6229615088
710	0.6227669697
711	0.6225667434
712	0.6223832719
713	0.6221842077
714	0.6220029322
715	0.6218047978
716	0.6215787282
717	0.6213833508
718	0.62120245
719	0.6210056558
720	0.6208278967
721	0.620638139
722	0.6204616447
723	0.6202918535
724	0.620081497
725	0.6198968496
726	0.6197024721
727	0.6195220849
728	0.619336714
729	0.6191471128
730	0.618985975
731	0.6188169584
732	0.6186395042
733	0.6184573289
734	0.618262128
735	0.6180968901
736	0.6179111448
737	0.617733893
738	0.6175699287
739	0.6174025994
740	0.6172303597
741	0.617039532
742	0.6168633216
743	0.6166636193
744	0.6164953388
745	0.6162908666
746	0.6161321592
747	0.615958209
748	0.6158070802
749	0.6156179391
750	0.6154367677
751	0.6152809658
752	0.6151252402
753	0.6149478509
754	0.6147983132
755	0.6146319743
756	0.6144804751
757	0.6143163728
758	0.6141395338
759	0.6139853636
760	0.6138130809
761	0.6136571509
762	0.6134876055
763	0.613311897
764	0.6131591873
765	0.6130013269
766	0.6128515782
767	0.6126960467
768	0.6125421451
769	0.6123821388
770	0.6122284391
771	0.6120729873
772	0.6119094733
773	0.6117180223
774	0.6115719477
775	0.6114441988
776	0.6112796497
777	0.611137548
778	0.610994976
779	0.6108247517
780	0.6106437248
781	0.6105082689
782	0.6103656343
783	0.6102169784
784	0.6100767152
785	0.6099392026
786	0.6097548157
787	0.6096172763
788	0.6094744783
789	0.6093462556
790	0.6091983612
791	0.609065838
792	0.6089155047
793	0.6087499806
794	0.6086119303
795	0.6084728958
796	0.6083190883
797	0.6081618882
798	0.6080169743
799	0.6078616681
800	0.607718457
801	0.6075784611
802	0.6074436993
803	0.6073018569
804	0.6071627576
805	0.6069935109
