기준연월,목적지 유형,목적지 검색량
202306,전체,125028
202305,전체,136071
202304,전체,138896
202303,전체,128424
202302,전체,110161
202301,전체,113775
202305,역사관광,259
202304,문화관광,51147
202305,문화관광,45087
202305,쇼핑,12796
202305,음식,73156
202305,숙박,3121
202304,체험관광,78
202304,역사관광,133
202304,레저스포츠,1588
202304,자연관광,91
202304,쇼핑,12336
202305,자연관광,57
202305,레저스포츠,1465
202305,체험관광,130
202306,쇼핑,11915
202306,숙박,3239
202306,음식,66827
202306,문화관광,41151
202306,역사관광,358
202306,자연관광,74
202306,레저스포츠,1376
202306,체험관광,88
202302,자연관광,47
202301,음식,63797
202301,쇼핑,15949
202301,기타관광,3
202301,문화관광,28349
202301,역사관광,1117
202301,자연관광,43
202301,레저스포츠,1644
202301,체험관광,51
202302,숙박,2810
202302,음식,63660
202302,쇼핑,11750
202302,문화관광,29072
202302,역사관광,1283
202301,숙박,2822
202302,레저스포츠,1475
202302,체험관광,64
202303,숙박,3235
202303,음식,69456
202303,쇼핑,12637
202303,기타관광,95
202303,문화관광,39162
202303,역사관광,2023
202303,자연관광,204
202303,레저스포츠,1545
202303,체험관광,67
202304,숙박,3244
202304,음식,70279
202307,전체,128684
202309,전체,134496
202308,전체,133907
202310,전체,133590
202311,전체,118681
202312,전체,133592
202402,전체,109749
202401,전체,113679
202403,전체,132559
202404,전체,141494
202405,전체,138821
202406,전체,133722
202407,전체,130175
202408,전체,134402
202409,전체,130265
202410,전체,131452
202411,전체,115784
202412,전체,110558
202307,쇼핑,12509
202307,숙박,3369
202307,음식,73978
202307,기타관광,4
202307,문화관광,36569
202307,역사관광,204
202307,자연관광,56
202307,레저스포츠,1902
202307,체험관광,93
202309,숙박,3399
202309,음식,70798
202309,쇼핑,17033
202309,기타관광,36
202309,문화관광,39636
202309,역사관광,1835
202309,자연관광,68
202309,레저스포츠,1567
202309,체험관광,124
202308,숙박,3238
202308,음식,75731
202308,쇼핑,13075
202308,기타관광,12
202308,문화관광,39307
202308,역사관광,638
202308,자연관광,53
202308,레저스포츠,1693
202308,체험관광,160
202310,쇼핑,12594
202310,숙박,3118
202310,음식,66300
202310,기타관광,99
202310,문화관광,47790
202310,역사관광,1947
202310,자연관광,80
202310,레저스포츠,1583
202310,체험관광,79
202311,쇼핑,12773
202311,숙박,3108
202311,음식,63233
202311,기타관광,159
202311,문화관광,36519
202311,역사관광,1246
202311,자연관광,42
202311,레저스포츠,1500
202311,체험관광,101
202312,쇼핑,13312
202312,숙박,3040
202312,음식,75779
202312,기타관광,4
202312,문화관광,38673
202312,역사관광,1072
202312,자연관광,10
202312,레저스포츠,1576
202312,체험관광,126
202402,쇼핑,13525
202402,숙박,2480
202402,음식,60587
202402,기타관광,7
202402,문화관광,30385
202402,역사관광,1200
202402,자연관광,27
202402,체험관광,152
202402,레저스포츠,1386
202401,쇼핑,12744
202401,숙박,2745
202401,음식,65068
202401,기타관광,9
202401,문화관광,29744
202401,역사관광,1357
202401,자연관광,35
202401,체험관광,109
202401,레저스포츠,1868
202403,쇼핑,13100
202403,숙박,2929
202403,음식,71219
202403,기타관광,92
202403,문화관광,41072
202403,역사관광,2019
202403,자연관광,116
202403,체험관광,174
202403,레저스포츠,1838
202404,쇼핑,11997
202404,숙박,2798
202404,음식,66369
202404,기타관광,27
202404,문화관광,56268
202404,역사관광,2163
202404,자연관광,90
202404,체험관광,208
202404,레저스포츠,1574
202405,쇼핑,13546
202405,숙박,2910
202405,음식,73955
202405,문화관광,44560
202405,역사관광,1890
202405,자연관광,36
202405,체험관광,195
202405,레저스포츠,1729
202406,쇼핑,12702
202406,숙박,2993
202406,음식,72641
202406,문화관광,41828
202406,역사관광,1467
202406,자연관광,49
202406,체험관광,131
202406,레저스포츠,1911
202407,쇼핑,11952
202407,숙박,2941
202407,음식,78679
202407,기타관광,6
202407,문화관광,33654
202407,역사관광,1056
202407,자연관광,27
202407,체험관광,98
202407,레저스포츠,1762
202408,쇼핑,12538
202408,숙박,3054
202408,음식,78897
202408,기타관광,31
202408,문화관광,36482
202408,역사관광,1410
202408,자연관광,18
202408,체험관광,138
202408,레저스포츠,1834
202409,쇼핑,15432
202409,숙박,2662
202409,음식,70012
202409,기타관광,34
202409,문화관광,38807
202409,역사관광,1616
202409,자연관광,68
202409,체험관광,65
202409,레저스포츠,1569
202410,쇼핑,12467
202410,숙박,2980
202410,음식,67127
202410,기타관광,11
202410,문화관광,45473
202410,역사관광,1691
202410,자연관광,52
202410,체험관광,178
202410,레저스포츠,1473
202411,쇼핑,12210
202411,숙박,2836
202411,음식,60106
202411,기타관광,10
202411,문화관광,37514
202411,역사관광,1266
202411,자연관광,24
202411,체험관광,132
202411,레저스포츠,1686
202412,쇼핑,12504
202412,숙박,2541
202412,음식,65784
202412,문화관광,27066
202412,역사관광,927
202412,자연관광,13
202412,체험관광,107
202412,레저스포츠,1616
