역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
207,상왕십리,승차,4958680,380437,383726,441173,418056,425859,419308,416361,404317,401392,416661,427679,423711
207,상왕십리,하차,4794222,368032,370505,423631,400942,409056,403652,403422,393949,388031,404877,416513,411612
208,왕십리(2),승차,5614336,429679,437381,523583,483553,492513,466837,454191,436444,454697,465459,487863,482136
208,왕십리(2),하차,4957199,383020,389073,447328,417550,430524,411077,410915,396665,397400,410339,429200,434108
210,뚝섬,승차,8118204,590228,617774,700328,705807,691812,685520,669347,666997,645346,705287,715074,724684
210,뚝섬,하차,8533202,627384,653002,740194,731998,724039,723016,709563,706829,681477,729765,746584,759351
211,성수,승차,13549483,1036133,1085139,1169600,1099751,1142127,1101660,1135699,1103269,1059728,1162006,1197917,1256454
211,성수,하차,14927196,1124689,1184350,1291812,1212221,1268614,1222043,1249167,1212773,1179622,1297022,1311521,1373362
244,용답,승차,1082503,79672,79600,104050,95147,95408,89860,85223,83159,91120,92683,94794,91787
244,용답,하차,1079551,78642,78191,106904,95539,96613,89010,83769,81410,90634,92852,95732,90255
324,금호,승차,2825830,217622,219265,251356,238919,242903,239016,233134,228746,229829,241773,242662,240605
324,금호,하차,2605078,200941,202147,231143,219323,223074,219275,215218,211469,211814,223032,224641,223001
325,옥수,승차,3191811,242132,247934,288345,270644,278693,271615,265054,256366,260276,274868,270412,265472
325,옥수,하차,3254823,250065,254504,291662,276476,282642,275797,271100,262710,263476,278354,275908,272129
2539,신금호,승차,2196914,165844,167546,196854,184347,189953,185612,182388,177588,178902,186843,192064,188973
2539,신금호,하차,2319910,173611,175582,206747,195094,201347,196008,192280,187832,188734,199111,203915,199649
2540,행당,승차,2817893,216095,216825,249384,236799,242826,239231,234446,229667,229233,240005,243845,239537
2540,행당,하차,2499728,193442,193402,221827,210682,214449,211210,208386,203867,202280,211298,216449,212436
2541,왕십리(5),승차,1602668,123599,125816,141609,133376,134677,132288,134425,132457,129302,135719,139255,140145
2541,왕십리(5),하차,1852237,144568,146933,163482,152593,155304,152926,156019,152363,148941,155748,157726,165634
2542,마장,승차,2054889,159328,156493,184458,176531,176549,169442,166582,163317,171568,173849,178814,177958
2542,마장,하차,1928837,150894,146323,172073,165758,165774,157792,154292,151560,162077,162644,169481,170169
2730,뚝섬유원지,승차,3492438,218587,230079,328522,335591,368264,304541,268196,265005,321104,369566,238982,244001
2730,뚝섬유원지,하차,3398586,214168,223117,317717,327615,358223,290967,257337,253171,312530,375331,231762,236648
