number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.2819877062545976,2025-10-16 23:40:24.310366,2025-10-16 23:40:25.322033,0 days 00:00:01.011667,0.6780896042090152,1.036436393296083,0.020799486896812477,5,5.162809426626999,400,6.566580778968677,3.2088593698753876,0.6140913161586421,COMPLETE
1,0.7444449776043414,2025-10-16 23:40:25.322509,2025-10-16 23:40:26.002863,0 days 00:00:00.680354,0.9289421773012069,2.9534236956381816,0.0031000033583200226,5,5.083924070500512,250,0.4875872362128142,2.757918231039993,0.716570095769357,COMPLETE
2,0.6610674917388395,2025-10-16 23:40:26.003289,2025-10-16 23:40:27.408326,0 days 00:00:01.405037,0.8669628006920831,0.08442912590837848,0.003616917604328035,10,5.429034572673931,250,9.155018366429665,0.9739970377802254,0.5650859454199562,COMPLETE
3,0.29762759934355293,2025-10-16 23:40:27.408732,2025-10-16 23:40:28.066162,0 days 00:00:00.657430,0.75179286813152,3.0570381903443455,0.04276400188677547,4,3.1291539847129677,400,4.1370607268999375,8.289207982824223,0.5546510152055767,COMPLETE
4,0.2565514762405853,2025-10-16 23:40:28.066566,2025-10-16 23:40:28.476118,0 days 00:00:00.409552,0.6686881451775524,1.725600622154602,0.10959832699493004,9,0.7199140034472453,200,4.927530190413933,3.737023959394654,0.9134753875003829,COMPLETE
5,0.28504289699514385,2025-10-16 23:40:28.476529,2025-10-16 23:40:29.029264,0 days 00:00:00.552735,0.6472512330395144,1.0759276514950926,0.15934920721929022,4,5.880431394262975,400,4.4952245167127085,4.068882333728435,0.7384851908678113,COMPLETE
6,1.1703013217122245,2025-10-16 23:40:29.029655,2025-10-16 23:40:29.388075,0 days 00:00:00.358420,0.5520334998799344,3.3128586256907417,0.0016238118297425448,4,5.223185972620381,150,6.223851374967606,0.9759736402815722,0.6332858436196063,COMPLETE
7,0.6298617810427201,2025-10-16 23:40:29.388468,2025-10-16 23:40:31.440718,0 days 00:00:02.052250,0.97042060351875,0.4595828954530018,0.0024099788819533095,9,2.4717242834173816,400,8.771144517229239,4.354497317771098,0.6734052502628861,COMPLETE
8,0.28015177940720626,2025-10-16 23:40:31.441121,2025-10-16 23:40:32.186912,0 days 00:00:00.745791,0.6036850290144343,2.911609766360494,0.041942778541865226,10,9.154019573849833,350,7.445717358579732,9.747211499192357,0.5758189399639584,COMPLETE
9,1.3361866144289507,2025-10-16 23:40:32.187300,2025-10-16 23:40:32.464331,0 days 00:00:00.277031,0.5306508468070018,0.854966018611083,0.0015927347372058408,9,3.7729504681767927,50,7.880884939956188,2.8845490293603007,0.7861630476215895,COMPLETE
10,0.2805098091822571,2025-10-16 23:40:32.464746,2025-10-16 23:40:33.037130,0 days 00:00:00.572384,0.768294340144504,4.570271858033978,0.24666038996671802,7,0.8134528785412872,500,2.758195774330459,6.382761559978311,0.9466402160095465,COMPLETE
11,0.263401740827217,2025-10-16 23:40:33.037525,2025-10-16 23:40:33.490367,0 days 00:00:00.452842,0.6308381358844335,1.822223979567951,0.0627432126826894,8,9.586092595873623,150,6.846670557523834,9.513935980474795,0.8782947062131401,COMPLETE
12,0.2638096061128484,2025-10-16 23:40:33.490775,2025-10-16 23:40:33.837064,0 days 00:00:00.346289,0.6815635885517125,1.9042640954091834,0.09412269201254315,7,9.778649371118174,150,2.604218486712157,6.221447829275583,0.9183712658853848,COMPLETE
13,0.2580138778262369,2025-10-16 23:40:33.837465,2025-10-16 23:40:34.250683,0 days 00:00:00.413218,0.7934093046638456,1.868795205687929,0.073659398197932,8,7.514368072566148,150,5.532068777118841,6.464402835759469,0.8488530775602576,COMPLETE
14,0.6047031361137889,2025-10-16 23:40:34.251068,2025-10-16 23:40:34.719500,0 days 00:00:00.468432,0.8266107746253861,2.14144523145497,0.010195171491403936,8,7.617110794585053,100,5.250067724100878,5.9668831176054224,0.8261833923802026,COMPLETE
15,0.2736106188294188,2025-10-16 23:40:34.719903,2025-10-16 23:40:35.515631,0 days 00:00:00.795728,0.8233939392990772,4.034232973634545,0.017967353787942595,8,7.120165588012183,200,3.1248241406994985,7.601766215818308,0.9860446055501912,COMPLETE
16,0.2717556455766231,2025-10-16 23:40:35.516053,2025-10-16 23:40:35.990135,0 days 00:00:00.474082,0.7168084794925039,1.5478009653660092,0.10795355593491393,6,0.8338515927189103,300,5.440058683128349,5.5454194771414675,0.8396864433352501,COMPLETE
17,0.2585531490987311,2025-10-16 23:40:35.990525,2025-10-16 23:40:36.152513,0 days 00:00:00.161988,0.788084569616789,2.2918127336670735,0.27176148972390013,9,7.923992275873293,50,1.4032947430175877,7.624440484021553,0.8923935300919288,COMPLETE
18,0.4508632082950533,2025-10-16 23:40:36.152920,2025-10-16 23:40:36.797859,0 days 00:00:00.644939,0.8855774224757487,1.421109138006619,0.0076601482426587805,6,6.574310252324203,200,3.97847185736672,1.7642877371794885,0.9946739421358497,COMPLETE
19,0.2876636966858294,2025-10-16 23:40:36.798262,2025-10-16 23:40:37.270983,0 days 00:00:00.472721,0.5822554833827656,2.4971117268042877,0.033704336811154756,10,8.521728518174287,100,5.684163903707824,4.666570067317785,0.7995792811006684,COMPLETE
20,0.28181397001501096,2025-10-16 23:40:37.271387,2025-10-16 23:40:37.710504,0 days 00:00:00.439117,0.722167468078776,4.998836907441801,0.12834433837887443,8,1.8860613735535088,300,9.972627716166237,0.09644439558168649,0.8970220609786488,COMPLETE
21,0.2593983226079979,2025-10-16 23:40:37.710919,2025-10-16 23:40:37.869795,0 days 00:00:00.158876,0.795821394938717,2.3246537311407547,0.2947238639357185,9,7.8463032449434,50,1.0546772002874838,7.562586073611502,0.861753665973704,COMPLETE
22,0.2591864934974851,2025-10-16 23:40:37.870209,2025-10-16 23:40:38.102389,0 days 00:00:00.232180,0.787982523821911,3.5595077746655157,0.1792603008377769,9,8.631940497589246,100,1.4917500348265527,7.129174684906454,0.9414993466140956,COMPLETE
23,0.2580838942414412,2025-10-16 23:40:38.102790,2025-10-16 23:40:38.546907,0 days 00:00:00.444117,0.6979945804327126,1.538939222709059,0.07715473089873608,7,6.7587721130177965,200,0.004854813971046035,8.999766328002764,0.7753287121865139,COMPLETE
24,0.25880767467434335,2025-10-16 23:40:38.547300,2025-10-16 23:40:39.019192,0 days 00:00:00.471892,0.7009681722757992,1.6502228858679597,0.0656387543037662,7,3.9526696337319787,200,0.04366736834274396,8.58377248198251,0.7762612714567434,COMPLETE
25,0.2636336404841392,2025-10-16 23:40:39.019607,2025-10-16 23:40:39.479977,0 days 00:00:00.460370,0.6386274529161249,1.33783107003897,0.07579812926745376,7,6.4308396122597165,200,3.382228407547391,8.841951437658185,0.701897732850108,COMPLETE
26,0.263121433030006,2025-10-16 23:40:39.480389,2025-10-16 23:40:40.234851,0 days 00:00:00.754462,0.7378534305025142,0.9108476130138208,0.030029902314816396,6,6.752602199919066,250,2.0480916538019773,5.3106142003665955,0.8321379824187398,COMPLETE
27,0.3208369404519828,2025-10-16 23:40:40.235260,2025-10-16 23:40:40.538419,0 days 00:00:00.303159,0.8480689661784554,2.026024938550445,0.05191999221890467,3,4.476509617801582,150,4.443290873665463,7.061458264883468,0.7479962434335667,COMPLETE
