iter	RMSE
0	1.329360684
1	1.248173251
2	1.174643912
3	1.110995207
4	1.051743228
5	1.001239621
6	0.9540409713
7	0.9134869428
8	0.8774101755
9	0.8459508975
10	0.8177052802
11	0.7926572158
12	0.7710110204
13	0.7519053902
14	0.7351585672
15	0.7206277644
16	0.7076455121
17	0.6962142429
18	0.6857977616
19	0.6769733575
20	0.6687262642
21	0.6616097229
22	0.6552537602
23	0.6490852189
24	0.6440085988
25	0.6392329431
26	0.6348879827
27	0.6300401572
28	0.626949974
29	0.6238233987
30	0.62068111
31	0.6179920519
32	0.6159497279
33	0.6138956077
34	0.6108955507
35	0.6090175699
36	0.6072267667
37	0.60536592
38	0.6037164905
39	0.6018702966
40	0.6003442054
41	0.5990491734
42	0.5978852584
43	0.5968309133
44	0.5959259892
45	0.595012233
46	0.593921611
47	0.5929249492
48	0.5915837234
49	0.5908710479
50	0.5899111028
51	0.5891280909
52	0.5883932805
53	0.5878871827
54	0.5866720101
55	0.5860727964
56	0.5854119639
57	0.5849112584
58	0.5840114667
59	0.5833053119
60	0.5827260337
61	0.5821211507
62	0.5816605065
63	0.5809150683
64	0.5803879817
65	0.5800346091
66	0.5795141548
67	0.5790566158
68	0.5786804545
69	0.578328752
70	0.5778751105
71	0.577628074
72	0.5772057669
73	0.5768906232
74	0.5761239662
75	0.5756839267
76	0.5751488193
77	0.5747070968
78	0.5742146047
79	0.5736226759
80	0.5734085593
81	0.5731653503
82	0.5725847064
83	0.5722946158
84	0.5719139455
85	0.5714074049
86	0.5710837525
87	0.570859676
88	0.5705546133
89	0.5702380911
90	0.569962252
91	0.5694775544
92	0.5691600126
93	0.5690109635
94	0.5687441391
95	0.5685003167
96	0.5681602399
97	0.5679309788
98	0.567576139
99	0.5673363976
100	0.5671109705
101	0.5667895385
102	0.5663982051
103	0.5660592187
104	0.5655770901
105	0.5652857138
106	0.5651030894
107	0.5649139413
108	0.5647177474
109	0.5645671924
110	0.5643307381
111	0.5641452762
112	0.5638943378
113	0.5636873506
114	0.563497333
115	0.5632407295
116	0.5629508508
117	0.5625733177
118	0.5622303584
119	0.5617013333
120	0.561568655
121	0.5612003042
122	0.5610234273
123	0.5606119196
124	0.5604723786
125	0.5601004815
126	0.5598443307
127	0.5594181956
128	0.5590912945
129	0.5588400578
130	0.5586717752
131	0.5583312747
132	0.5580886065
133	0.5578582342
134	0.5576071537
135	0.5573913207
136	0.5569730025
137	0.5566459533
138	0.5563054274
139	0.5560347084
140	0.5559007347
141	0.555580276
142	0.5553971087
143	0.5551327225
144	0.5549504422
145	0.5546674529
146	0.554429297
147	0.5542107988
148	0.554048242
149	0.5538134881
150	0.5534957047
151	0.5533024705
152	0.5529336322
153	0.5527470825
154	0.5525898592
155	0.5524395172
156	0.5522180095
157	0.5518470021
158	0.5515753683
159	0.5513157489
160	0.5511245993
161	0.5508493753
162	0.5505876417
163	0.5504207769
164	0.5502823114
165	0.5500751841
166	0.549737596
167	0.5494951806
168	0.5493719638
169	0.5491697474
170	0.5490759897
171	0.5489332395
172	0.5487446252
173	0.5486269793
174	0.5484200727
175	0.5482100731
176	0.5479891912
177	0.5478505728
178	0.547455133
179	0.5473211086
180	0.5470948125
181	0.5469177212
182	0.5466335031
183	0.5463971559
184	0.5461652842
185	0.5459686441
186	0.5458473752
187	0.5456900972
188	0.5454966074
189	0.5453119167
190	0.5451132914
191	0.5449937785
192	0.5448860317
193	0.5447289541
194	0.5445232131
195	0.5443364721
196	0.5441606264
197	0.5440238764
198	0.5438102722
199	0.5435520661
200	0.5433744704
201	0.5432577277
202	0.5431334141
203	0.5430058346
204	0.5428271415
205	0.5426441188
206	0.5425346464
207	0.5422818588
208	0.5420252407
209	0.5418612884
210	0.5416894878
211	0.5415824563
212	0.5413910418
213	0.5412221228
214	0.5410745858
215	0.5408753571
216	0.5406862118
217	0.5405744174
218	0.5404138308
219	0.5402113282
220	0.5400421477
221	0.5399188166
222	0.5397194274
223	0.5395728844
224	0.5394332794
