iter	Passed	Remaining
0	62	31365
1	65	16267
2	67	11237
3	70	8748
4	73	7292
5	76	6291
6	79	5584
7	82	5053
8	85	4686
9	90	4434
10	98	4398
11	106	4320
12	109	4096
13	114	3982
14	117	3788
15	119	3624
16	122	3480
17	124	3344
18	127	3217
19	129	3110
20	131	3005
21	134	2916
22	136	2828
23	138	2750
24	141	2680
25	143	2616
26	146	2559
27	148	2504
28	150	2449
29	153	2397
30	155	2350
31	157	2305
32	159	2261
33	162	2223
34	164	2186
35	166	2149
36	168	2114
37	171	2079
38	173	2051
39	175	2021
40	178	1993
41	180	1965
42	182	1936
43	184	1911
44	186	1886
45	188	1860
46	190	1837
47	193	1817
48	195	1799
49	197	1780
50	200	1761
51	202	1744
52	204	1726
53	206	1706
54	209	1691
55	211	1674
56	213	1656
57	215	1640
58	217	1627
59	219	1611
60	221	1597
61	224	1584
62	226	1572
63	229	1560
64	231	1548
65	233	1535
66	235	1523
67	237	1510
68	239	1498
69	242	1487
70	244	1474
71	246	1462
72	248	1453
73	250	1442
74	252	1432
75	254	1422
76	257	1413
77	259	1404
78	262	1396
79	264	1388
80	266	1378
81	268	1370
82	271	1362
83	273	1352
84	275	1342
85	277	1334
86	279	1325
87	281	1317
88	283	1309
89	285	1300
90	287	1293
91	290	1286
92	292	1280
93	294	1272
94	296	1264
95	298	1257
96	300	1250
97	302	1242
98	305	1235
99	307	1229
100	309	1222
101	311	1215
102	313	1210
103	316	1204
104	318	1198
105	320	1192
106	323	1186
107	325	1181
108	327	1174
109	329	1167
110	331	1162
111	333	1155
112	335	1150
113	337	1143
114	339	1137
115	342	1132
116	344	1126
117	346	1122
118	349	1117
119	351	1112
120	353	1106
121	355	1100
122	357	1095
123	359	1090
124	362	1086
125	364	1081
126	366	1076
127	368	1072
128	371	1068
129	373	1063
130	375	1057
131	377	1053
132	380	1048
133	382	1044
134	384	1039
135	386	1035
136	389	1031
137	391	1026
138	393	1022
139	395	1017
140	397	1012
141	400	1008
142	402	1003
143	404	999
144	406	995
145	408	990
146	410	986
147	412	982
148	415	977
149	417	973
150	419	970
151	421	965
152	424	962
153	426	958
154	428	953
155	430	949
156	432	945
157	435	941
158	437	937
159	439	933
160	441	929
161	443	926
162	446	922
163	447	917
164	449	913
165	452	909
166	454	905
167	456	902
168	458	897
169	460	894
170	462	890
171	465	886
172	467	883
173	469	878
174	471	875
175	473	871
176	475	868
177	477	864
178	479	860
179	482	856
180	484	853
181	486	850
182	489	847
183	491	844
184	493	840
185	496	837
186	498	834
187	501	832
188	504	829
189	506	826
190	508	823
191	510	819
192	513	816
193	515	812
194	517	809
195	519	806
196	521	802
197	523	799
198	525	795
199	527	791
200	530	788
201	532	784
202	534	781
203	536	778
204	538	775
205	540	771
206	542	768
207	545	765
208	547	762
209	550	759
210	552	756
