number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.6558469882472281,2025-11-18 22:15:36.833648,2025-11-18 22:15:37.249412,0 days 00:00:00.415764,0.6583572285660921,2.940323783828071,0.008694551679269991,3,4.48655511314742,200,8.989196027357893,1.9390087649177667,0.7827967928052568,COMPLETE
1,0.5451794878630721,2025-11-18 22:15:37.249929,2025-11-18 22:15:38.121972,0 days 00:00:00.872043,0.5952600178252041,4.811710140258589,0.035234240660587265,4,6.815218948712825,500,9.415432167488763,8.237788808058179,0.5115346057216301,COMPLETE
2,0.5885873425717126,2025-11-18 22:15:38.122377,2025-11-18 22:15:39.652966,0 days 00:00:01.530589,0.7939054190823845,2.9851310428116467,0.004944443769161888,7,9.975368835590874,400,4.250402783673632,9.819868429568652,0.8702099083059385,COMPLETE
3,0.6644359421682332,2025-11-18 22:15:39.653362,2025-11-18 22:15:41.339418,0 days 00:00:01.686056,0.6448029718652062,2.710761585598776,0.0044468018623248316,10,6.414822060555574,300,6.420882367678531,2.189964217484799,0.8012039164579275,COMPLETE
4,0.7948440769547954,2025-11-18 22:15:41.339820,2025-11-18 22:15:41.493961,0 days 00:00:00.154141,0.9433393017800424,2.676404940759665,0.01818645139139425,4,3.90246053704213,50,0.9128710190767453,6.781059860522608,0.8615226020804901,COMPLETE
5,0.5306763947769715,2025-11-18 22:15:41.494335,2025-11-18 22:15:42.601354,0 days 00:00:01.107019,0.6125896562468214,0.9708754376082757,0.07202213102736947,6,6.604761675996661,500,9.52804484116739,0.27688530832670977,0.7065018121772249,COMPLETE
6,0.5426235966232303,2025-11-18 22:15:42.601735,2025-11-18 22:15:43.080797,0 days 00:00:00.479062,0.9670527977085792,3.5659238543131906,0.11295659765909631,6,1.805290876642057,300,9.02595370341034,9.963067571844887,0.9195009867975772,COMPLETE
7,0.540286154622548,2025-11-18 22:15:43.081178,2025-11-18 22:15:43.418449,0 days 00:00:00.337271,0.5517433067991389,2.778465729135364,0.050050423119672866,6,2.1005164747522205,100,0.3510958527422514,2.4127140614054943,0.5526573010188237,COMPLETE
8,0.5304150057020264,2025-11-18 22:15:43.418851,2025-11-18 22:15:45.256852,0 days 00:00:01.838001,0.6855131536739878,1.6097183976713518,0.014810695729562649,9,8.16689692479433,400,3.7235069080894645,3.351832508671264,0.5339515105281998,COMPLETE
9,1.1737268152051066,2025-11-18 22:15:45.257236,2025-11-18 22:15:45.818518,0 days 00:00:00.561282,0.9302534773261601,4.535529440070645,0.002289729153704205,9,0.903023604217942,100,8.51557530974603,8.984079476312465,0.7509805861543906,COMPLETE
10,0.5545317082427347,2025-11-18 22:15:45.818923,2025-11-18 22:15:46.672896,0 days 00:00:00.853973,0.7762015488826383,1.0380431328487028,0.2569804089768271,8,9.623135671058897,400,2.8592346577949144,4.57524162807908,0.6417042823885404,COMPLETE
11,0.5307006086810033,2025-11-18 22:15:46.673299,2025-11-18 22:15:48.056471,0 days 00:00:01.383172,0.7070877066414116,0.9849672365178643,0.06064456957384006,8,8.130002893330268,500,5.730950375301759,0.14662490144309473,0.6416095189495656,COMPLETE
12,0.5328464187281479,2025-11-18 22:15:48.056883,2025-11-18 22:15:50.540345,0 days 00:00:02.483462,0.5004257359531441,0.07335940709603594,0.018119488954225427,10,7.793794532040607,400,3.7092924209852978,4.157953836626454,0.655422129215165,COMPLETE
13,0.951578424235752,2025-11-18 22:15:50.540745,2025-11-18 22:15:51.759654,0 days 00:00:01.218909,0.8328746146807541,1.5563866060666502,0.001210171549337582,5,5.771079156038807,450,7.013723061877302,0.04587768467985523,0.9895055911256959,COMPLETE
14,0.5309180028131741,2025-11-18 22:15:51.760044,2025-11-18 22:15:52.511525,0 days 00:00:00.751481,0.7112058532956859,1.5743500262699943,0.1395571769329213,7,8.084291413374757,350,2.0842834424732892,5.983152008940207,0.5758130859494004,COMPLETE
15,0.5363093865034416,2025-11-18 22:15:52.511918,2025-11-18 22:15:54.787582,0 days 00:00:02.275664,0.617381548065748,0.11540366316493389,0.010344616549810429,8,4.786815750435846,500,7.360965243235727,3.3408175240900744,0.6868633818056802,COMPLETE
16,0.5403058875103991,2025-11-18 22:15:54.787984,2025-11-18 22:15:55.465459,0 days 00:00:00.677475,0.8726562350778257,1.863518455075687,0.029466737136329614,5,8.887119010233107,250,5.033580545288145,1.2012903265755286,0.7103348354573346,COMPLETE
17,0.537416100684884,2025-11-18 22:15:55.465855,2025-11-18 22:15:56.987518,0 days 00:00:01.521663,0.7084841540618787,0.7027552629938996,0.09189769262736877,9,6.786656989290808,450,2.202479098692055,3.607054836068466,0.5935131882230034,COMPLETE
18,0.5538307590956092,2025-11-18 22:15:56.987924,2025-11-18 22:15:57.579170,0 days 00:00:00.591246,0.562610799652263,2.0468725160386123,0.28161730557889053,9,3.4232079978439938,350,7.940781391098303,5.64630806766379,0.5244539769349068,COMPLETE
19,0.5421017735411593,2025-11-18 22:15:57.579545,2025-11-18 22:15:59.279746,0 days 00:00:01.700201,0.6781700518059209,0.9034439279572428,0.008210230762023674,7,5.866007592966308,450,4.601975789713267,0.887692726131919,0.7228000350691963,COMPLETE
20,0.5453156831988727,2025-11-18 22:15:59.280120,2025-11-18 22:15:59.824529,0 days 00:00:00.544409,0.5020723267069436,0.4808963056806409,0.027589900125342817,5,7.390838686886052,200,5.678049017260362,3.0652224328874214,0.6079162120744828,COMPLETE
21,0.5284100476365398,2025-11-18 22:15:59.824936,2025-11-18 22:16:01.082846,0 days 00:00:01.257910,0.7242389992543394,1.217471357122632,0.059780846190991714,8,8.61080929519955,500,6.005003967393122,0.07537591831550053,0.6390660531895429,COMPLETE
22,0.5312361154778886,2025-11-18 22:16:01.083234,2025-11-18 22:16:02.064087,0 days 00:00:00.980853,0.7386275781697887,2.1226817795308426,0.06449754861174439,8,8.959170687494687,500,3.379116941187691,1.237943666855577,0.6764599580655826,COMPLETE
23,0.5348270460039809,2025-11-18 22:16:02.064481,2025-11-18 22:16:02.947399,0 days 00:00:00.882918,0.607983901792849,1.359780937714769,0.15650102358780513,9,9.021819241558214,450,5.8330500275241555,0.9000033848042688,0.6133946700841808,COMPLETE
24,0.5303777222228614,2025-11-18 22:16:02.947790,2025-11-18 22:16:03.977144,0 days 00:00:01.029354,0.7444589629127151,1.2010716585839467,0.03941230443986485,6,7.287369820205863,350,7.676358633262252,0.10169015470752883,0.5531130692366024,COMPLETE
25,0.531857730405401,2025-11-18 22:16:03.977526,2025-11-18 22:16:05.070852,0 days 00:00:01.093326,0.8190014673144818,2.2324172423355626,0.03841694780150063,10,8.673112547400303,350,6.87307525704411,1.8341224849070232,0.5499790631585144,COMPLETE
26,0.5315963382448102,2025-11-18 22:16:05.071244,2025-11-18 22:16:06.448484,0 days 00:00:01.377240,0.7477110817079958,1.425927848329014,0.021773078313876464,7,7.423431135431062,400,7.70486382002985,7.24485935871358,0.5512828145894932,COMPLETE
27,0.5475491116173663,2025-11-18 22:16:06.448890,2025-11-18 22:16:07.656140,0 days 00:00:01.207250,0.8601132285780128,0.46368957802521293,0.01286577869939505,8,8.33771948122428,250,4.96595998973504,2.6170469042665894,0.5081416532623074,COMPLETE
28,0.6044378260799743,2025-11-18 22:16:07.656532,2025-11-18 22:16:09.367266,0 days 00:00:01.710734,0.7807321063066397,3.4381544572573297,0.005070319310267767,9,5.775361829580177,350,6.3326808417259075,4.989161620320125,0.5808227270083436,COMPLETE
29,0.538851454938662,2025-11-18 22:16:09.367662,2025-11-18 22:16:10.037087,0 days 00:00:00.669425,0.6728208485724909,1.6615652787028807,0.04675306768910579,4,9.602090454916894,300,8.003928078166906,1.672451908652166,0.6310193090089585,COMPLETE
30,0.5815424064687663,2025-11-18 22:16:10.037472,2025-11-18 22:16:10.899923,0 days 00:00:00.862451,0.654855359621065,1.2412304132195515,0.00881748839616272,3,7.195173041118289,450,3.992226237391609,0.570506706484508,0.5369511152099433,COMPLETE
31,0.527127718085073,2025-11-18 22:16:10.900329,2025-11-18 22:16:12.338770,0 days 00:00:01.438441,0.7213758419472257,0.42814096657905054,0.06483035520734855,6,6.417244053780725,500,9.43429104471847,0.3159916412567,0.7742763940109353,COMPLETE
32,0.5289222379804818,2025-11-18 22:16:12.339172,2025-11-18 22:16:13.412281,0 days 00:00:01.073109,0.7335629520950913,0.6003543197837117,0.08537138455693229,6,4.929290240072254,400,9.850936618083358,1.6592335442337274,0.780886358954668,COMPLETE
33,0.538208019048685,2025-11-18 22:16:13.412683,2025-11-18 22:16:14.693876,0 days 00:00:01.281193,0.740450956882508,0.428663071616611,0.18132611349120012,6,4.818764063836671,500,9.914679422733178,1.5225491006839067,0.762322516955696,COMPLETE
34,0.528774127829069,2025-11-18 22:16:14.694285,2025-11-18 22:16:15.767312,0 days 00:00:01.073027,0.768094515211163,0.6423862901953545,0.07855782749999596,5,5.272115783626482,450,8.711437472111015,0.003498585446488109,0.8072462091876466,COMPLETE
35,0.5295531458117358,2025-11-18 22:16:15.767713,2025-11-18 22:16:16.820858,0 days 00:00:01.053145,0.808908367257395,0.6866396978156648,0.08483119822828376,5,3.867990326369938,450,8.953808378648375,0.7821359976853349,0.8079945443921152,COMPLETE
36,0.5333276018403781,2025-11-18 22:16:16.821274,2025-11-18 22:16:17.716702,0 days 00:00:00.895428,0.7728849013055528,0.015999437554058304,0.0984498166719989,3,3.0342452827929716,500,8.68736278221571,2.1042457395571494,0.8287088485597819,COMPLETE
37,0.5304631139811951,2025-11-18 22:16:17.717092,2025-11-18 22:16:18.568261,0 days 00:00:00.851169,0.846776904459346,0.2929986303647243,0.17213772367222396,4,5.300783886188437,400,9.971635202144734,0.5466212786278595,0.8980622892052663,COMPLETE
38,0.533514736181553,2025-11-18 22:16:18.568667,2025-11-18 22:16:19.537371,0 days 00:00:00.968704,0.63584699468936,0.8057861377163515,0.10918465354948129,7,4.300513979024582,450,9.215314018111007,1.3246079808045463,0.7846231587359485,COMPLETE
39,0.5304220166437649,2025-11-18 22:16:19.537774,2025-11-18 22:16:20.787900,0 days 00:00:01.250126,0.8838070515567935,0.6108022654254892,0.05457571322573196,5,6.039780531175574,500,8.438545272303443,2.5287564932100883,0.8219942595941445,COMPLETE
40,0.5290376743036079,2025-11-18 22:16:20.788315,2025-11-18 22:16:21.960957,0 days 00:00:01.172642,0.7118785627467487,0.34537999810742037,0.0722061913016182,6,5.058507246027552,400,9.67269305517815,0.026985455037104374,0.8541742858871153,COMPLETE
41,0.5288741027401049,2025-11-18 22:16:21.961353,2025-11-18 22:16:23.149269,0 days 00:00:01.187916,0.7202263948200177,0.2567849485413869,0.07506772463907212,6,5.320731281450499,400,9.404585790664374,0.6156101005308542,0.8502429303457674,COMPLETE
42,0.5358609386776354,2025-11-18 22:16:23.149673,2025-11-18 22:16:24.551379,0 days 00:00:01.401706,0.7996226745609821,0.27316230986743495,0.12489687729066339,6,6.366640353179131,450,9.321567718452009,0.606861076086664,0.7747598257330766,COMPLETE
43,0.5366475436373567,2025-11-18 22:16:24.551790,2025-11-18 22:16:25.457900,0 days 00:00:00.906110,0.7696705005434931,1.0435084265024401,0.20054998485120373,7,4.237545198964786,500,8.26072661555906,1.0477289922908426,0.7360562602437987,COMPLETE
44,0.5306263649551568,2025-11-18 22:16:25.458298,2025-11-18 22:16:26.406312,0 days 00:00:00.948014,0.7248810148327346,0.64990783954484,0.07504956788936785,5,5.354044833058021,400,8.838427112187635,1.892051611218825,0.8448148294068146,COMPLETE
45,0.52910691879364,2025-11-18 22:16:26.406716,2025-11-18 22:16:27.740549,0 days 00:00:01.333833,0.6991286497698126,0.22290087179764306,0.0472374793485179,6,2.933427100095809,450,9.421808554757124,0.4834589641763765,0.9030790923031018,COMPLETE
46,0.537746820409782,2025-11-18 22:16:27.740939,2025-11-18 22:16:28.734754,0 days 00:00:00.993815,0.7579896398241976,4.962012061414006,0.02990147132830568,6,6.324987734643757,500,9.021929330470792,1.6056060956421896,0.7919067696469015,COMPLETE
47,0.7277483817377869,2025-11-18 22:16:28.735150,2025-11-18 22:16:28.888622,0 days 00:00:00.153472,0.680172765949143,4.09832548120727,0.023260845194426116,4,3.8161154353234523,50,9.554059341104178,0.33756734402269606,0.9515348175256535,COMPLETE
48,0.5367235659428211,2025-11-18 22:16:28.889034,2025-11-18 22:16:29.222449,0 days 00:00:00.333415,0.6491178791777944,1.1073974510059184,0.23008432972604775,5,4.509151380982046,150,7.202476366285874,0.0014044683270200975,0.8826355126256491,COMPLETE
49,0.5324138729221305,2025-11-18 22:16:29.222837,2025-11-18 22:16:30.097632,0 days 00:00:00.874795,0.7269114475461097,0.8891545358549002,0.13777737270202506,6,5.531116264079182,400,6.515857565941273,2.8083911014512584,0.7371362492481623,COMPLETE
