number,value,datetime_start,datetime_complete,duration,params_attention_dropout,params_attention_heads,params_batch_size,params_embedding_size,params_ff_dropout,params_learning_rate,params_transformer_depth,state
0,inf,2025-10-16 22:20:13.044091,2025-10-16 22:20:13.045192,0 days 00:00:00.001101,0.14010687511125092,8,128,16,0.24175958754482296,1.0793864615704983e-05,6,COMPLETE
1,inf,2025-10-16 22:20:13.045644,2025-10-16 22:20:13.045928,0 days 00:00:00.000284,0.3595827235216239,8,64,32,0.09075364904823996,0.00011396736344168276,6,COMPLETE
2,inf,2025-10-16 22:20:13.046204,2025-10-16 22:20:13.046400,0 days 00:00:00.000196,0.2374154676290134,16,64,16,0.29009407011131594,0.0010293809867019121,2,COMPLETE
3,inf,2025-10-16 22:20:13.046648,2025-10-16 22:20:13.046832,0 days 00:00:00.000184,0.14896315503808216,16,64,128,0.22784703113316668,0.0002441621740568693,4,COMPLETE
4,inf,2025-10-16 22:20:13.047067,2025-10-16 22:20:13.047253,0 days 00:00:00.000186,0.046494013344123564,8,512,128,0.4138463502014367,0.00035640245289749356,3,COMPLETE
5,inf,2025-10-16 22:20:13.047488,2025-10-16 22:20:13.047660,0 days 00:00:00.000172,0.22102172628098105,16,512,64,0.24080078726455695,7.560760723297923e-05,6,COMPLETE
6,inf,2025-10-16 22:20:13.047896,2025-10-16 22:20:13.048070,0 days 00:00:00.000174,0.0040663220821146595,16,64,32,0.010517667440293033,0.0012881282511444298,3,COMPLETE
7,inf,2025-10-16 22:20:13.048371,2025-10-16 22:20:13.048682,0 days 00:00:00.000311,0.38737474220530466,4,128,32,0.09820476584663618,0.0002076645604923434,8,COMPLETE
8,inf,2025-10-16 22:20:13.048966,2025-10-16 22:20:13.049172,0 days 00:00:00.000206,0.4585623453290148,16,512,64,0.15828717027358885,0.0019157980442387269,4,COMPLETE
9,inf,2025-10-16 22:20:13.049406,2025-10-16 22:20:13.049589,0 days 00:00:00.000183,0.24094287541214493,2,512,32,0.38017762508534936,5.5886246621979145e-05,2,COMPLETE
10,inf,2025-10-16 22:20:13.049823,2025-10-16 22:20:13.052800,0 days 00:00:00.002977,0.10285159663214705,8,128,16,0.3269570359022971,1.2249772105129671e-05,8,COMPLETE
11,inf,2025-10-16 22:20:13.053123,2025-10-16 22:20:13.055832,0 days 00:00:00.002709,0.35353559216086755,8,256,16,0.10049924574718501,0.008492694862658044,6,COMPLETE
12,inf,2025-10-16 22:20:13.056155,2025-10-16 22:20:13.058224,0 days 00:00:00.002069,0.34388489305503145,8,128,32,0.49193557709542773,1.6375684318215864e-05,6,COMPLETE
13,inf,2025-10-16 22:20:13.058479,2025-10-16 22:20:13.061474,0 days 00:00:00.002995,0.16104383856652038,8,256,16,0.00668277939797933,3.6908467682884126e-05,7,COMPLETE
14,inf,2025-10-16 22:20:13.061797,2025-10-16 22:20:13.063964,0 days 00:00:00.002167,0.48035127944085326,2,64,16,0.1582276834732319,2.8115475966344006e-05,5,COMPLETE
15,inf,2025-10-16 22:20:13.064260,2025-10-16 22:20:13.066196,0 days 00:00:00.001936,0.29932294005205806,4,128,32,0.1745879383084069,0.0001086427724463682,7,COMPLETE
16,inf,2025-10-16 22:20:13.066502,2025-10-16 22:20:13.068970,0 days 00:00:00.002468,0.42257541631852225,8,64,64,0.08072638757597742,1.0296177929319901e-05,5,COMPLETE
17,inf,2025-10-16 22:20:13.069257,2025-10-16 22:20:13.071322,0 days 00:00:00.002065,0.2916184852392192,8,128,128,0.2107518995704317,0.0005192588734816635,7,COMPLETE
18,inf,2025-10-16 22:20:13.071633,2025-10-16 22:20:13.073644,0 days 00:00:00.002011,0.17241567812774555,8,256,32,0.2913810136466378,0.0058845253681796645,6,COMPLETE
19,inf,2025-10-16 22:20:13.073898,2025-10-16 22:20:13.075986,0 days 00:00:00.002088,0.09035517018928524,4,64,16,0.06062842964774319,3.065872546571963e-05,4,COMPLETE
20,inf,2025-10-16 22:20:13.076305,2025-10-16 22:20:13.078372,0 days 00:00:00.002067,0.304307028988827,2,128,16,0.3602397888439222,0.00012066268550987657,5,COMPLETE
