iter	Passed	Remaining
0	4	8693
1	8	8219
2	12	8148
3	16	8206
4	20	8097
5	24	7984
6	27	7958
7	31	7952
8	36	7993
9	39	7949
10	44	8041
11	48	8109
12	53	8101
13	56	8082
14	60	8044
15	64	8031
16	68	8007
17	72	7971
18	76	7936
19	79	7901
20	83	7868
21	87	7856
22	90	7785
23	94	7757
24	98	7752
25	101	7743
26	105	7733
27	109	7713
28	113	7709
29	117	7687
30	120	7676
31	124	7682
32	128	7672
33	132	7648
34	135	7633
35	139	7633
36	143	7618
37	147	7614
38	151	7606
39	154	7593
40	158	7587
41	162	7566
42	165	7546
43	169	7546
44	173	7530
45	177	7523
46	180	7511
47	184	7504
48	188	7503
49	191	7485
50	195	7480
51	199	7478
52	203	7469
53	207	7461
54	210	7451
55	214	7441
56	217	7430
57	221	7423
58	225	7415
59	229	7414
60	233	7410
61	236	7402
62	240	7389
63	244	7386
64	248	7383
65	251	7372
66	255	7364
67	259	7359
68	262	7352
69	266	7346
70	270	7342
71	274	7338
72	277	7330
73	281	7325
74	285	7318
75	288	7309
76	292	7305
77	296	7300
78	299	7286
79	303	7278
80	306	7269
81	310	7266
82	314	7258
83	318	7256
84	321	7249
85	325	7248
86	329	7246
87	333	7238
88	336	7234
89	340	7226
90	344	7222
91	347	7214
92	351	7206
93	355	7201
94	358	7194
95	362	7188
96	366	7185
97	370	7182
98	373	7178
99	377	7174
100	381	7166
101	384	7158
102	388	7154
103	392	7150
104	396	7149
105	400	7151
106	404	7148
107	407	7144
108	411	7140
109	415	7136
110	418	7126
111	422	7121
112	426	7116
113	429	7112
114	433	7106
115	437	7099
116	440	7091
117	444	7085
118	448	7081
119	451	7079
120	455	7073
121	459	7068
122	462	7064
123	466	7059
124	470	7053
125	474	7051
126	477	7045
127	481	7039
128	484	7031
129	488	7025
130	491	7017
131	495	7013
132	499	7011
133	503	7007
134	506	7002
135	510	6996
136	514	6994
137	518	6990
138	521	6985
139	525	6980
140	529	6976
141	532	6971
142	536	6969
143	540	6967
144	544	6961
145	547	6957
146	551	6950
147	555	6946
148	559	6945
149	563	6945
150	567	6943
151	570	6940
152	574	6938
153	578	6931
154	582	6927
155	585	6921
156	589	6916
157	592	6910
158	596	6907
159	600	6902
160	604	6899
161	607	6895
162	611	6888
163	614	6882
164	618	6878
165	622	6875
166	625	6870
167	629	6865
168	633	6864
169	637	6859
170	640	6852
171	644	6846
172	647	6842
173	651	6836
174	655	6834
175	659	6831
176	663	6829
177	666	6824
178	670	6820
179	674	6816
180	677	6811
181	681	6806
182	685	6802
183	688	6799
184	692	6792
185	695	6787
186	699	6781
187	702	6774
188	706	6770
189	710	6766
190	713	6761
191	717	6756
192	721	6752
193	725	6751
194	729	6750
195	732	6746
196	736	6741
197	740	6736
198	743	6731
199	747	6726
200	751	6723
201	754	6717
202	758	6713
203	762	6711
204	766	6708
205	769	6704
206	773	6702
207	777	6698
208	781	6693
209	784	6689
210	789	6689
211	792	6686
212	796	6681
213	799	6674
214	803	6674
215	807	6670
216	811	6665
217	815	6663
218	818	6658
219	822	6655
220	826	6651
221	829	6647
222	833	6642
223	837	6638
224	840	6633
225	844	6629
226	848	6624
227	851	6618
228	855	6614
229	858	6610
230	862	6607
231	866	6603
232	870	6600
233	873	6595
234	877	6592
235	881	6589
236	885	6586
237	889	6583
238	893	6579
239	896	6576
240	900	6571
241	903	6566
242	907	6562
243	911	6557
244	914	6553
245	918	6548
246	922	6545
247	925	6539
248	929	6535
249	932	6530
250	936	6527
251	940	6522
252	943	6517
253	947	6512
254	951	6508
255	954	6504
256	958	6499
257	962	6496
258	965	6490
259	969	6486
260	972	6481
261	976	6476
262	979	6471
263	983	6468
264	987	6464
265	990	6459
266	994	6456
267	998	6453
268	1002	6451
269	1006	6451
270	1011	6450
271	1015	6450
272	1019	6448
273	1023	6445
274	1027	6442
275	1030	6438
276	1034	6434
277	1038	6432
278	1042	6431
279	1046	6427
280	1049	6422
281	1053	6418
282	1057	6415
283	1061	6411
284	1064	6406
285	1068	6401
286	1071	6397
287	1075	6392
288	1079	6389
289	1082	6385
290	1086	6382
291	1090	6377
292	1094	6373
293	1097	6369
294	1101	6366
295	1105	6361
296	1108	6358
297	1112	6353
298	1116	6350
299	1120	6347
300	1123	6342
301	1127	6337
302	1131	6334
303	1135	6333
304	1138	6329
305	1142	6326
306	1146	6323
307	1150	6320
308	1154	6318
309	1158	6315
310	1162	6312
311	1165	6307
312	1169	6303
313	1173	6300
314	1177	6297
315	1180	6292
316	1184	6288
317	1188	6283
318	1191	6278
319	1195	6274
320	1198	6270
321	1202	6265
322	1206	6262
323	1210	6259
324	1213	6254
325	1217	6249
326	1220	6245
327	1224	6242
328	1228	6238
329	1231	6233
330	1235	6228
331	1238	6224
332	1242	6220
333	1246	6216
334	1250	6214
335	1253	6209
336	1257	6206
337	1261	6203
338	1265	6201
339	1269	6197
340	1272	6192
341	1276	6188
342	1280	6184
343	1283	6179
344	1287	6176
345	1291	6172
346	1294	6168
347	1298	6164
348	1302	6160
349	1305	6156
350	1309	6152
351	1313	6149
352	1317	6144
353	1320	6141
354	1324	6137
355	1328	6133
356	1331	6129
357	1335	6124
358	1338	6120
359	1342	6116
360	1346	6113
361	1350	6109
362	1354	6106
363	1357	6101
364	1360	6096
365	1364	6092
366	1368	6089
367	1372	6085
368	1376	6082
369	1379	6078
370	1383	6073
371	1386	6068
372	1390	6065
373	1394	6060
374	1397	6056
375	1401	6051
376	1404	6047
377	1408	6044
378	1412	6040
379	1416	6037
380	1420	6034
381	1424	6031
382	1427	6027
383	1431	6022
384	1434	6018
385	1438	6015
386	1442	6011
387	1445	6006
388	1449	6002
389	1452	5997
390	1456	5993
391	1460	5990
392	1464	5987
393	1467	5982
394	1471	5978
395	1475	5974
396	1478	5971
397	1482	5967
398	1486	5962
399	1490	5960
400	1493	5956
401	1497	5952
402	1501	5949
403	1505	5946
404	1509	5943
