number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.26115805789914687,2025-10-17 00:12:53.800954,2025-10-17 00:12:54.320365,0 days 00:00:00.519411,0.8894189122184949,0.23658425284837858,0.11475664198968367,5,9.233513773445525,200,8.65814750100488,9.098592481563108,0.642335482787784,COMPLETE
1,0.27756108915369404,2025-10-17 00:12:54.320847,2025-10-17 00:12:54.807843,0 days 00:00:00.486996,0.807994427537533,4.480148602057195,0.29429255893051837,8,5.245836466716518,400,0.19785968099318096,0.5060846866841362,0.6095751136544516,COMPLETE
2,0.2821423758106886,2025-10-17 00:12:54.808247,2025-10-17 00:12:56.269657,0 days 00:00:01.461410,0.8636629997740104,1.339280159678276,0.007627532220128421,7,4.614608746921534,400,2.5849813584235672,1.0774387713121658,0.8796183860990576,COMPLETE
3,0.2790544564902365,2025-10-17 00:12:56.270057,2025-10-17 00:12:56.441818,0 days 00:00:00.171761,0.5658858501847135,2.1703147399638647,0.20958332371935795,8,6.376724928073027,50,7.414643153005176,0.37688626297056826,0.7327422967804977,COMPLETE
4,0.8489230134945859,2025-10-17 00:12:56.442212,2025-10-17 00:12:57.931114,0 days 00:00:01.488902,0.9831118126503322,3.025801384919975,0.0016910499163447896,8,1.6407112386410971,350,9.200363993791353,4.695477189036961,0.6714088935543321,COMPLETE
5,0.29477574347006846,2025-10-17 00:12:57.931525,2025-10-17 00:12:59.141690,0 days 00:00:01.210165,0.8415139169122932,1.0291358141534657,0.010961164458447354,10,7.0411605549954395,200,0.6133261771439147,0.5717307468766064,0.5821630989230119,COMPLETE
6,0.9421739099639029,2025-10-17 00:12:59.142094,2025-10-17 00:13:00.233712,0 days 00:00:01.091618,0.8108826904649502,1.3597040940292915,0.001583003921980036,7,1.5803897318615363,300,8.769138316451098,1.79525534082285,0.5310900268499721,COMPLETE
7,0.3126742830656999,2025-10-17 00:13:00.234123,2025-10-17 00:13:00.598954,0 days 00:00:00.364831,0.5279191689375302,4.994590287346485,0.031652490998261465,7,7.315237651846941,100,3.8003226064078968,8.867772913327329,0.8263548777689641,COMPLETE
8,0.5197029116989583,2025-10-17 00:13:00.599361,2025-10-17 00:13:01.658466,0 days 00:00:01.059105,0.5010265948538821,1.8586210340704745,0.0030137778785842098,4,3.618683561368125,500,2.8555237892142413,1.9777783016691142,0.8946932466434594,COMPLETE
9,0.3190122241014413,2025-10-17 00:13:01.658870,2025-10-17 00:13:02.467981,0 days 00:00:00.809111,0.8155089055886955,0.3105352992056837,0.017476368921109542,3,7.37761828725373,450,9.248893908629167,2.5423999664738406,0.592402105467202,COMPLETE
10,0.2930011477041062,2025-10-17 00:13:02.468399,2025-10-17 00:13:02.861534,0 days 00:00:00.393135,0.665996434115793,3.4369555906151543,0.06587104300074254,5,9.919638805137366,200,6.514850332661318,9.792736151846162,0.9787889609392837,COMPLETE
11,0.29459833246343126,2025-10-17 00:13:02.861949,2025-10-17 00:13:03.143421,0 days 00:00:00.281472,0.9448210280797735,4.833134523331441,0.2826769830886912,5,9.995687917972063,200,0.5904795131556142,7.251837066721358,0.6589641824169744,COMPLETE
12,0.28456735550516404,2025-10-17 00:13:03.143812,2025-10-17 00:13:03.607166,0 days 00:00:00.463354,0.7221024561921388,3.8480059207503956,0.11524559486400658,9,3.830531672710726,300,5.762153169063943,4.713842632871631,0.5010396074372024,COMPLETE
13,0.24589494970876563,2025-10-17 00:13:03.607557,2025-10-17 00:13:04.596052,0 days 00:00:00.988495,0.9033789344847865,0.059878703009248496,0.0846615460249139,5,8.577464001166856,400,4.787877278871439,6.654804677547472,0.6886448687507369,COMPLETE
14,0.27921711509751085,2025-10-17 00:13:04.596448,2025-10-17 00:13:05.012342,0 days 00:00:00.415894,0.9202774735526134,0.21807344727161437,0.05033504393167239,5,8.833761574598496,150,4.6611633832471275,6.999671136602499,0.7475478252974004,COMPLETE
15,0.2897031489304811,2025-10-17 00:13:05.012732,2025-10-17 00:13:05.474444,0 days 00:00:00.461712,0.9040502651693144,0.6493768053439685,0.10246885401455044,3,8.530677068454994,250,7.590029598272493,7.178355360385048,0.6815559822822445,COMPLETE
16,0.2532297659338186,2025-10-17 00:13:05.474843,2025-10-17 00:13:06.928806,0 days 00:00:01.453963,0.7303620419704451,0.09731710167071447,0.02415422128519963,6,8.572669542115062,500,4.870951576725768,8.366696379244555,0.7836870270090455,COMPLETE
17,0.2621434736741093,2025-10-17 00:13:06.929217,2025-10-17 00:13:08.096698,0 days 00:00:01.167481,0.6606111578272352,0.8376642740128948,0.027091209941878257,6,6.1519114568558315,500,4.868095816505466,6.105944067987601,0.8129498010134631,COMPLETE
