iter	MAE
0	1.148171202
1	1.120403898
2	1.093579779
3	1.067529587
4	1.043157983
5	1.017273935
6	0.9958574314
7	0.9726385062
8	0.9501880367
9	0.9295338713
10	0.9083875445
11	0.8890062935
12	0.8682299564
13	0.848038087
14	0.8278016855
15	0.8114937811
16	0.7943184964
17	0.7757290392
18	0.7594272174
19	0.7431494292
20	0.726808713
21	0.7127940783
22	0.6989217458
23	0.6860089167
24	0.6741307406
25	0.6618548963
26	0.6495046584
27	0.6392627139
28	0.6296403333
29	0.6209486468
30	0.612847013
31	0.6045897433
32	0.5961848556
33	0.588215123
34	0.5809922754
35	0.5717111912
36	0.562881726
37	0.554601818
38	0.5461005011
39	0.5397183024
40	0.5323402193
41	0.524805151
42	0.518355445
43	0.513168706
44	0.5074229366
45	0.5025037567
46	0.4970608189
47	0.4921434057
48	0.4870522542
49	0.4831054913
50	0.478824936
51	0.4739174961
52	0.4683968513
53	0.4644988008
54	0.4611462978
55	0.4568544323
56	0.4525011278
57	0.4495405859
58	0.4463220449
59	0.4420818317
60	0.4385539675
61	0.4351896969
62	0.4313953893
63	0.4287066813
64	0.4256242491
65	0.4230783223
66	0.420203997
67	0.4170286873
68	0.414761931
69	0.4126742931
70	0.4105176004
71	0.408632605
72	0.4063800702
73	0.4038367257
74	0.4021010087
75	0.4000373559
76	0.3978536952
77	0.3957164094
78	0.3936627358
79	0.3917447583
80	0.3896828492
81	0.3878601202
82	0.3859957762
83	0.3840596913
84	0.3823091648
85	0.3805243107
86	0.3787570529
87	0.3772254546
88	0.375602998
89	0.373941991
90	0.3725718014
91	0.3710689979
92	0.3695748258
93	0.3682455209
94	0.36699618
95	0.3656743067
96	0.3644370703
97	0.3632020093
98	0.3620350668
99	0.3609990043
100	0.3599193228
101	0.3588646496
102	0.3578748516
103	0.3568690778
104	0.3559071742
105	0.3549414195
106	0.3538685608
107	0.3529880636
108	0.3521085393
109	0.3513038287
110	0.3504890121
111	0.3496745634
112	0.3489806189
113	0.3482205659
114	0.3475797411
115	0.3469565625
116	0.3462693241
117	0.3456324836
118	0.3450772215
119	0.3444896899
120	0.3438915199
121	0.3433448167
122	0.3428393843
123	0.3423352488
124	0.3417932604
125	0.3411802186
126	0.3406834137
127	0.3402223134
128	0.339687615
129	0.3392562598
130	0.3387089228
131	0.3382686611
132	0.3378330253
133	0.3373744803
134	0.3369682911
135	0.3366465685
136	0.3361863479
137	0.3357630582
138	0.335305551
139	0.3350504096
140	0.3346317001
141	0.3343162673
142	0.3339827121
143	0.3336839781
144	0.3333658171
145	0.3330354308
146	0.3327881096
147	0.3324596955
148	0.3321512385
149	0.3318902612
150	0.3315869878
151	0.3312879109
152	0.3310157464
153	0.3307869437
154	0.3304960489
155	0.3301304213
156	0.3299411182
157	0.3297045621
158	0.329470008
159	0.3292874391
160	0.3290766816
161	0.3288083979
162	0.3285976586
163	0.3284207443
164	0.3282535396
165	0.3281001446
166	0.3279255826
167	0.3277401159
168	0.3275635668
169	0.3273982837
170	0.3272166028
171	0.3270738183
172	0.3269224868
173	0.3267637653
174	0.3266186889
175	0.3264781504
176	0.3263157552
177	0.3261955743
178	0.3260929575
179	0.3259146537
180	0.3258294274
181	0.3255932475
182	0.3253366148
183	0.3251464759
184	0.324934173
185	0.3247571688
186	0.3245956834
187	0.3244392111
188	0.324212037
189	0.3240612172
190	0.3239127335
191	0.3237740117
192	0.3235992466
193	0.3234568474
194	0.3232557104
195	0.3231140821
196	0.3230211461
197	0.3228726649
198	0.3227684418
199	0.3226424795
200	0.3225181508
201	0.3224265718
202	0.3223458229
203	0.3221807189
204	0.3220945277
205	0.3219640564
206	0.3218807305
207	0.3217650916
208	0.3216844069
209	0.3216139572
210	0.3214733632
211	0.3213816508
