iter	Passed	Remaining
0	90	109065
1	124	74307
2	153	61087
3	179	53694
4	204	48985
5	230	45847
6	262	44806
7	293	43772
8	319	42309
9	345	41084
10	371	40128
11	400	39671
12	430	39317
13	451	38288
14	475	37563
15	498	36906
16	527	36724
17	553	36324
18	578	35977
19	607	35870
20	634	35625
21	657	35193
22	683	34997
23	711	34849
24	734	34521
25	758	34240
26	782	33986
27	804	33693
28	832	33602
29	853	33294
30	880	33209
31	905	33047
32	931	32954
33	959	32893
34	984	32777
35	1010	32662
36	1031	32412
37	1053	32223
38	1079	32133
39	1106	32083
40	1132	32014
41	1156	31900
42	1177	31681
43	1201	31555
44	1234	31680
45	1266	31782
46	1294	31748
47	1319	31665
48	1346	31617
49	1371	31545
50	1400	31555
51	1422	31415
52	1445	31289
53	1472	31253
54	1499	31225
55	1524	31141
56	1548	31057
57	1572	30971
58	1599	30937
59	1627	30920
60	1649	30806
61	1672	30689
62	1697	30637
63	1721	30561
64	1743	30445
65	1772	30450
66	1795	30363
67	1817	30259
68	1841	30189
69	1868	30160
70	1892	30090
71	1919	30066
72	1941	29976
73	1966	29919
74	1993	29908
75	2017	29840
76	2040	29757
77	2062	29670
78	2086	29613
79	2109	29532
80	2131	29451
81	2157	29411
82	2185	29407
83	2210	29368
84	2241	29401
85	2266	29362
86	2291	29309
87	2311	29207
88	2332	29111
89	2356	29063
90	2380	29007
91	2404	28959
92	2432	28956
93	2461	28966
94	2485	28914
95	2510	28875
96	2535	28830
97	2559	28783
98	2586	28768
99	2610	28710
100	2633	28654
101	2662	28665
102	2688	28634
103	2712	28584
104	2738	28556
105	2763	28517
106	2790	28504
107	2812	28441
108	2841	28442
109	2862	28368
110	2888	28335
111	2916	28335
112	2941	28291
113	2962	28221
114	2987	28183
115	3012	28149
116	3033	28079
117	3055	28020
118	3080	27979
119	3105	27947
120	3129	27905
121	3150	27842
122	3178	27826
123	3201	27781
124	3234	27818
125	3258	27771
126	3285	27756
127	3308	27704
128	3330	27653
129	3355	27616
130	3376	27557
131	3402	27526
132	3426	27488
133	3448	27437
134	3474	27408
135	3498	27367
136	3520	27319
137	3545	27285
138	3569	27249
139	3592	27197
140	3616	27165
141	3644	27156
142	3669	27124
143	3693	27082
144	3719	27064
145	3744	27034
146	3774	27035
147	3797	26991
148	3818	26936
149	3841	26890
150	3869	26878
151	3896	26867
152	3918	26817
153	3942	26780
154	3966	26743
155	3991	26711
156	4017	26688
157	4044	26674
158	4070	26652
159	4095	26620
160	4117	26570
161	4140	26532
162	4168	26520
163	4192	26484
164	4217	26457
165	4246	26449
166	4269	26410
167	4292	26371
168	4316	26333
169	4341	26302
170	4369	26292
171	4396	26277
172	4421	26245
173	4449	26234
174	4475	26211
175	4502	26196
176	4530	26186
177	4556	26161
178	4582	26135
179	4608	26112
180	4633	26087
181	4661	26071
182	4687	26048
183	4712	26019
184	4738	25998
185	4763	25968
186	4791	25957
