지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),9-9강수(mm)
108,서울,2023-01-01,-0.2,-4.3,3.8,,2.7,55,,,
108,서울,2023-01-02,-4.5,-7.4,-0.4,,2.5,46,,,
108,서울,2023-01-03,-5,-9,0.6,,1.8,49,,,
108,서울,2023-01-04,-1.8,-5.7,3.3,,1.9,51,,,
108,서울,2023-01-05,-1.6,-5.6,3.6,,1.6,58.1,,,
108,서울,2023-01-06,0.6,-4.7,5.7,3.9,2.2,71.9,3.6,3.6,4
108,서울,2023-01-07,1.5,-1.4,3.8,0.1,2.2,80.9,,3.6,
108,서울,2023-01-08,1.3,-3.7,6.3,,1.7,69.3,,,
108,서울,2023-01-09,3.1,-1.3,7,,2.3,60.1,,,
108,서울,2023-01-10,1.6,-3.9,9.1,,1.5,59.9,,,
108,서울,2023-01-11,2.6,-2,9.2,,1.6,61.9,,,
108,서울,2023-01-12,5.9,-0.6,12.5,0,2.2,46.6,,,35.6
108,서울,2023-01-13,8.3,5.1,10.1,37.3,2.5,99.1,,,1.9
108,서울,2023-01-14,6.6,3.8,8.4,1.6,2.5,92.9,,,4.1
108,서울,2023-01-15,-0.2,-3.5,3.8,3.2,2.8,93.9,0.6,0.6,0.5
108,서울,2023-01-16,-4.6,-6.8,-1.2,0,2.7,63.1,,0.3,
108,서울,2023-01-17,-3.7,-7,-0.4,0,1.8,65.1,,,0
108,서울,2023-01-18,-1.9,-4.6,2.2,0,2,60.5,,,
108,서울,2023-01-19,-0.4,-6,4.3,1,2.5,69.3,,,1
108,서울,2023-01-20,-3.3,-7.7,2,,3.7,52.4,,,
108,서울,2023-01-21,-4.5,-10.5,1.5,,1.8,55.4,,,
108,서울,2023-01-22,-0.6,-2.8,2.6,0,2.6,62.8,,,0
108,서울,2023-01-23,-0.8,-6.9,4.6,,2.7,66.6,,,0
108,서울,2023-01-24,-14.7,-17,-6.9,0,4.6,51.9,,,
108,서울,2023-01-25,-11.3,-17.3,-5.4,0,2.1,45.1,,,0.8
108,서울,2023-01-26,-6,-9,-3.5,0.8,2.5,80.1,4.5,4.5,0
108,서울,2023-01-27,-7.3,-9.6,-3.8,,3.5,56.5,,1.7,
108,서울,2023-01-28,-6,-11.2,-0.6,0,2.4,54.9,,,0
108,서울,2023-01-29,-1.8,-8,4.9,,2.6,58.3,,,
108,서울,2023-01-30,-0.9,-4.4,4.2,,2.1,55.9,,,
108,서울,2023-01-31,2.4,-3.5,7.8,,2.7,69.1,,,
108,서울,2023-02-01,0.9,-3,6,,3.2,68.4,,,
108,서울,2023-02-02,-2.4,-5.1,1.4,,2.5,50.3,,,
108,서울,2023-02-03,-1.6,-3.9,3.4,,2.2,47.4,,,
108,서울,2023-02-04,-0.2,-5.2,6,,2,49.8,,,
108,서울,2023-02-05,1.7,-3.3,7.1,,1.8,71,,,
108,서울,2023-02-06,3,-1.7,8.8,,1.6,72.3,,,
108,서울,2023-02-07,3.5,-0.6,9.5,,1.5,72.9,,,
108,서울,2023-02-08,2.1,-1.3,7.8,,2.5,62.1,,,
108,서울,2023-02-09,4,-2.8,9.9,0,2.5,49.9,,,0.6
108,서울,2023-02-10,3.8,1.1,6.2,0.6,2.2,79.6,,,0
108,서울,2023-02-11,2.8,-1.2,8.5,,1.8,73,,,
108,서울,2023-02-12,3.7,-0.9,7.6,,1.8,70,,,
108,서울,2023-02-13,5.9,2.7,8.4,,2.3,66.5,,,
108,서울,2023-02-14,1.7,-2.5,6.6,,2.7,54.9,,,
108,서울,2023-02-15,3.2,-1.2,8.9,,2.5,46.4,,,
108,서울,2023-02-16,2.3,-0.7,4.5,0,2.7,68.3,,,0
108,서울,2023-02-17,3.4,-1.5,9.8,,1.8,67.8,,,
108,서울,2023-02-18,5.7,3,8.1,,1.5,58.3,,,0.4
108,서울,2023-02-19,3.5,0.2,6.1,0.4,3.3,56.1,,,
108,서울,2023-02-20,-0.5,-3.5,2.4,,3.3,46.4,,,
108,서울,2023-02-21,-1.3,-5.3,4.8,,2.1,42.4,,,
108,서울,2023-02-22,1.2,-4.5,8.4,,2.2,50.6,,,
108,서울,2023-02-23,2.9,-1.8,9.2,,1.9,65.5,,,
108,서울,2023-02-24,3.5,-0.4,8.5,,3,57.9,,,
108,서울,2023-02-25,0.7,-2.9,5.7,,2.9,44,,,
108,서울,2023-02-26,2.2,-3.4,9.4,,2.1,46.6,,,
108,서울,2023-02-27,4.4,-1.8,12.4,,1.9,47.4,,,
108,서울,2023-02-28,4.3,-0.7,8.7,,2,63.4,,,
108,서울,2023-03-01,6,2.9,9,,3.1,54.4,,,
108,서울,2023-03-02,2.2,-1.8,6.6,,2.8,37.8,,,
108,서울,2023-03-03,4.6,-1.9,10.4,,2.1,65,,,
108,서울,2023-03-04,7.7,3.7,14.1,,1.9,68.4,,,
108,서울,2023-03-05,8,2.5,15.4,,1.7,54,,,
108,서울,2023-03-06,9.2,2.2,16.5,,2.1,41.9,,,
108,서울,2023-03-07,11.7,6.3,19.4,,2.3,60.9,,,
108,서울,2023-03-08,12.5,7.4,17.7,1.2,2,66.3,,,4.8
108,서울,2023-03-09,10.3,7.4,13.1,3.7,2.3,85.9,,,0.1
108,서울,2023-03-10,13.5,6.2,22.2,,2.1,62.1,,,
108,서울,2023-03-11,15.2,10.2,22.8,,2.4,52,,,1.4
108,서울,2023-03-12,5.9,0.6,12.6,5.6,3.7,68,,,4.2
108,서울,2023-03-13,2.9,-1.9,7.6,,3.2,38.9,,,
108,서울,2023-03-14,9.2,3.3,15.4,,2.9,45.9,,,
108,서울,2023-03-15,8.6,3.5,14.4,,3,66.6,,,
108,서울,2023-03-16,4.6,0.4,9,,2.4,36.8,,,
108,서울,2023-03-17,7.2,0.7,12.7,,1.7,34.3,,,
108,서울,2023-03-18,7.7,2.5,14,,2.6,46.4,,,
108,서울,2023-03-19,8.3,2.3,15.2,,2.1,59.6,,,
108,서울,2023-03-20,9.5,2.6,17.1,,1.6,50.4,,,
108,서울,2023-03-21,13,5,22.2,,1.7,35.1,,,
108,서울,2023-03-22,17,9.2,25.1,,1.8,44.8,,,0
108,서울,2023-03-23,17.4,12.3,23.3,0,2.5,48.9,,,
108,서울,2023-03-24,12.5,7.6,18.3,,2.3,36.8,,,
108,서울,2023-03-25,12.5,8,18.7,,2.3,59.9,,,
108,서울,2023-03-26,9.4,4.7,14,,3.6,34,,,
108,서울,2023-03-27,7.3,1.9,14.5,,2.3,44.8,,,
108,서울,2023-03-28,9.2,2.8,15.7,,2.1,53.3,,,
108,서울,2023-03-29,11.8,5.1,19.7,,1.9,50.3,,,
108,서울,2023-03-30,13.3,6.4,21.2,,2.2,42.5,,,
108,서울,2023-03-31,15,7.5,23.9,,2.1,42.5,,,
108,서울,2023-04-01,17.5,9.4,25.6,,1.8,40.4,,,
108,서울,2023-04-02,18.8,11.9,25.2,,2.4,29.6,,,
108,서울,2023-04-03,19,11.3,25.9,,2.3,29.4,,,
