ENCODED_MCT,TA_YM,MCT_OPE_MS_CN,RC_M1_SAA,RC_M1_TO_UE_CT,RC_M1_UE_CUS_CN,RC_M1_AV_NP_AT,APV_CE_RAT,DLV_SAA_RAT,M1_SME_RY_SAA_RAT,M1_SME_RY_CNT_RAT,M12_SME_RY_SAA_PCE_RT,M12_SME_BZN_SAA_PCE_RT,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT,MCT_UE_CLN_REU_RAT,MCT_UE_CLN_NEW_RAT,RC_M1_SHC_RSD_UE_CLN_RAT,RC_M1_SHC_WP_UE_CLN_RAT,RC_M1_SHC_FLP_UE_CLN_RAT,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,survive,day_diff,quaters
000F03E44A,202404,4,5,5,5,5,1,-999999.9,2.6,10.6,93.8,71.5,16.7,7.8,18.1818,9.0909,9.0909,18.1818,27.2727,4.0182,2.0091,2.0091,4.0182,6.0273,5.0,45.0,12.5,12.5,75.0,중식-딤섬/중식만두,뚝섬,1,795,2
000F03E44A,202312,4,6,6,6,6,,-999999.9,0.0,0.0,94.8,73.4,16.6,7.2,12.5083,37.45,0.0,24.9417,0.0,4.1917,12.55,0.0,8.3583,0.0,0.0,0.0,-999999.9,-999999.9,-999999.9,중식-딤섬/중식만두,뚝섬,1,674,4
002816BA73,202404,2,3,4,4,2,6,-999999.9,96.6,40.8,15.6,20.0,17.5,5.2,5.4384,23.6488,20.0232,22.8248,10.4648,1.1616,5.0512,4.2768,4.8752,2.2352,10.66,6.12,23.8,23.8,52.4,요리주점,마장동,1,3646,2
002816BA73,202411,2,3,4,4,2,6,-999999.9,108.0,46.4,16.8,19.8,16.9,6.9,5.4855,18.921,21.624,20.511,12.9585,1.4145,4.879,5.576,5.289,3.3415,10.41,6.3,11.5,11.5,76.9,요리주점,마장동,1,3860,4
002816BA73,202406,2,4,4,4,2,1,-999999.9,74.2,38.1,16.0,19.9,17.3,5.6,5.376,22.848,21.084,23.94,10.752,1.024,4.352,4.016,4.56,2.048,9.86,4.69,13.0,17.4,69.6,요리주점,마장동,1,3707,2
002816BA73,202305,2,3,4,4,2,1,-999999.9,84.1,42.3,18.3,22.6,17.1,6.4,8.657,22.823,17.7075,19.675,9.8375,2.343,6.177,4.7925,5.325,2.6625,12.53,7.23,15.2,9.1,75.8,요리주점,마장동,1,3311,2
003473B465,202401,3,6,6,6,6,,-999999.9,0.0,0.0,86.6,70.9,17.5,7.1,0.0,40.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,-999999.9,-999999.9,-999999.9,백반/가정식,뚝섬,1,1730,1
003AC99735,202311,4,2,1,1,6,3,1.7,274.0,501.2,4.2,10.0,14.1,8.3,17.169,15.3648,11.6982,10.185,3.8412,12.331,11.0352,8.4018,7.315,2.7588,36.53,5.61,34.7,11.9,53.4,커피전문점,답십리,1,1505,4
003AC99735,202304,4,2,1,1,5,3,1.0,281.3,478.1,4.3,10.0,11.4,9.5,18.0765,15.912,11.7585,9.594,3.159,12.8235,11.288,8.3415,6.806,2.241,36.33,7.28,32.3,11.7,56.0,커피전문점,답십리,1,1291,2
003AC99735,202411,3,2,1,1,6,3,1.2,250.9,472.4,3.7,9.6,14.0,7.9,14.448,17.5182,11.3176,12.1002,4.816,9.552,11.5818,7.4824,7.9998,3.184,36.7,5.0,34.7,11.8,53.5,커피전문점,답십리,1,1871,4
003AC99735,202409,3,2,1,1,6,3,0.4,290.5,524.3,3.7,9.6,14.2,7.7,14.9048,17.1285,11.3589,11.8397,4.8681,9.8952,11.3715,7.5411,7.8603,3.2319,35.99,8.2,33.6,9.5,56.9,커피전문점,답십리,1,1810,3
003AC99735,202403,3,2,1,1,6,2,2.1,260.9,499.6,4.1,10.2,14.3,7.7,16.298,15.66,11.252,10.44,4.292,11.802,11.34,8.148,7.56,3.108,36.38,7.02,32.0,11.5,56.5,커피전문점,답십리,1,1627,1
003AC99735,202402,3,3,1,1,5,3,1.3,254.4,477.3,4.2,10.2,14.4,8.0,16.7895,15.6195,11.466,10.413,4.212,11.9105,11.0805,8.134,7.387,2.988,36.37,4.97,37.4,10.9,51.8,커피전문점,답십리,1,1596,1
003AC99735,202312,4,3,1,1,5,4,1.6,216.4,419.3,4.3,10.3,14.1,7.6,17.1402,15.3329,11.5434,10.3191,3.9644,12.2598,10.9671,8.2566,7.3809,2.8356,36.51,5.22,31.7,10.5,57.8,커피전문점,답십리,1,1536,4
003AC99735,202303,4,2,1,1,6,4,1.2,251.4,475.8,4.5,10.3,11.1,8.9,17.8332,15.8646,11.7537,9.3798,3.0687,12.9668,11.5354,8.5463,6.8202,2.2313,36.14,7.6,29.0,12.3,58.7,커피전문점,답십리,1,1261,1
