number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5414635525510583,2025-10-16 19:45:48.206300,2025-10-16 19:45:48.846017,0 days 00:00:00.639717,0.642984482399452,0.7447015547439384,0.27898916519465666,4,8.944212739748279,300,7.223242014812472,7.772097025396948,0.5823534879322101,COMPLETE
1,0.5425927110085287,2025-10-16 19:45:48.846538,2025-10-16 19:45:49.031108,0 days 00:00:00.184570,0.7135701906867211,0.3049839110755659,0.2554293908771927,6,0.5216314937717162,50,4.748253647490856,4.597465286551946,0.7199771814179275,COMPLETE
2,0.5388546214870579,2025-10-16 19:45:49.031552,2025-10-16 19:45:49.454927,0 days 00:00:00.423375,0.5097884437998486,4.448467555267142,0.22784590150471068,10,7.916151898849193,300,2.078583118316124,7.0264938890524755,0.9155128142646154,COMPLETE
3,0.5391898864724604,2025-10-16 19:45:49.455331,2025-10-16 19:45:49.737335,0 days 00:00:00.282004,0.9038803209977311,2.4936912129180397,0.21898588463343246,8,8.536634279250029,150,7.124555721301695,0.9786778123381079,0.9408270592820792,COMPLETE
4,0.5364073365688221,2025-10-16 19:45:49.737735,2025-10-16 19:45:50.435579,0 days 00:00:00.697844,0.6996957282934957,2.0221361308339065,0.10998048559919107,7,3.7462033696794754,500,3.943330410120117,7.303685423141019,0.9786757487301533,COMPLETE
5,0.5393626384534862,2025-10-16 19:45:50.435972,2025-10-16 19:45:51.159546,0 days 00:00:00.723574,0.864706626702274,4.683761967854492,0.04644155587983196,6,2.043661774436359,400,9.576508313381737,9.470340729727853,0.8963884761687309,COMPLETE
6,0.8157850816346566,2025-10-16 19:45:51.159951,2025-10-16 19:45:51.853939,0 days 00:00:00.693988,0.7159743375786449,1.6844173513252836,0.00793567058588046,10,6.631151745348758,100,1.6265206516592245,5.677365079060806,0.797319120797173,COMPLETE
7,0.8566096035019277,2025-10-16 19:45:51.854347,2025-10-16 19:45:52.110607,0 days 00:00:00.256260,0.8795017958226329,1.3862417478125788,0.007485403478747171,4,3.129510396039631,100,6.089009427424407,5.718163861361778,0.8613743743314244,COMPLETE
8,0.538529450300622,2025-10-16 19:45:52.110993,2025-10-16 19:45:52.694608,0 days 00:00:00.583615,0.8785809098375917,3.294823906317625,0.11059382561452893,6,9.700481032903518,400,8.357791793852677,2.52106392566392,0.8624139370262215,COMPLETE
9,0.5366068750627977,2025-10-16 19:45:52.695004,2025-10-16 19:45:53.166080,0 days 00:00:00.471076,0.9408769741079721,3.101866674662711,0.07972787852170912,6,7.774174790534635,250,4.735564231665926,5.008504898458085,0.9775887924042266,COMPLETE
10,0.8402680158177657,2025-10-16 19:45:53.166466,2025-10-16 19:45:55.400502,0 days 00:00:02.234036,0.5689076551416908,2.2534649689710315,0.0015247295024684883,8,4.509993973605976,500,0.18826692730818984,9.469480052039646,0.6688133895050983,COMPLETE
11,0.535394316129976,2025-10-16 19:45:55.400904,2025-10-16 19:45:56.119106,0 days 00:00:00.718202,0.9961324973380403,3.374904286414641,0.03957397527455543,8,5.728905161898499,200,4.064251173168387,3.2548099172453226,0.9975072819771494,COMPLETE
12,0.5345266881959154,2025-10-16 19:45:56.119508,2025-10-16 19:45:56.939197,0 days 00:00:00.819689,0.7919867608780036,3.7312436110273137,0.028800122623573635,8,4.801922135863118,200,3.1023874629617496,3.074329869232621,0.9846260397468367,COMPLETE
13,0.5371840387633426,2025-10-16 19:45:56.939603,2025-10-16 19:45:57.803676,0 days 00:00:00.864073,0.78880961915689,3.7493691976476025,0.02276027690368356,8,5.944413808507314,200,3.3665462398713526,2.844957926779,0.9905697128287296,COMPLETE
14,0.5354522663296324,2025-10-16 19:45:57.804083,2025-10-16 19:45:58.746223,0 days 00:00:00.942140,0.8081302035760708,3.885917636306047,0.023218897347556656,9,5.14107251714378,200,2.63889736697645,3.1034660473683138,0.7972941917456247,COMPLETE
15,0.6423890142456075,2025-10-16 19:45:58.746637,2025-10-16 19:45:59.993941,0 days 00:00:01.247304,0.9999342837052664,2.8674520070171177,0.006992921292344323,9,6.410466192003147,200,0.5456518942135249,0.4483203210093589,0.5742939743985965,COMPLETE
16,0.5365344833011922,2025-10-16 19:45:59.994342,2025-10-16 19:46:00.823216,0 days 00:00:00.828874,0.9958315861149083,3.9606539713258133,0.039476569796569265,7,2.5619143973313254,350,5.898130721104543,3.8644585679384864,0.5149695646909064,COMPLETE
17,0.5997268896305684,2025-10-16 19:46:00.823624,2025-10-16 19:46:01.302097,0 days 00:00:00.478473,0.8014988185887103,4.86523628943808,0.011552594126581541,3,4.63198166354601,250,3.6529051109721444,1.7719909179502358,0.8523102366894579,COMPLETE
18,0.9988916898051033,2025-10-16 19:46:01.302508,2025-10-16 19:46:02.165191,0 days 00:00:00.862683,0.6410924834842929,3.383888210148553,0.0030167142598142437,9,7.080910539830468,150,1.223680990579172,1.8982290368920778,0.7807513211313315,COMPLETE
19,0.5863332790425171,2025-10-16 19:46:02.165593,2025-10-16 19:46:02.337297,0 days 00:00:00.171704,0.9486396740264498,4.210236883750415,0.046975730336019685,5,5.635288020054796,50,5.766463116714867,3.7469552350131545,0.9364924035670268,COMPLETE
20,0.567574444031182,2025-10-16 19:46:02.337704,2025-10-16 19:46:02.949920,0 days 00:00:00.612216,0.8301904191539295,2.594411109143536,0.01554962382800588,7,4.434981542463248,150,2.8535602030671994,1.5629224585852435,0.6870120918901141,COMPLETE
21,0.5340309926563199,2025-10-16 19:46:02.950330,2025-10-16 19:46:03.851832,0 days 00:00:00.901502,0.774011925504148,3.5625777220488883,0.027664645847754434,9,5.447000793705725,200,2.486533060118438,2.9438992600586795,0.8047434383490423,COMPLETE
22,0.5330382310675601,2025-10-16 19:46:03.852236,2025-10-16 19:46:04.704986,0 days 00:00:00.852750,0.770174928800644,3.5631557928531783,0.03139956296000136,8,5.254595805706617,250,4.0980651448877445,3.5761426691766607,0.9983407681600764,COMPLETE
23,0.5327280731132357,2025-10-16 19:46:04.705381,2025-10-16 19:46:05.763252,0 days 00:00:01.057871,0.7575145791808519,3.6691050728087204,0.02567973615248206,9,3.557199617685048,250,2.42694568517873,4.416102691183422,0.8356887227040057,COMPLETE
